Index,consulta,titulo,resumo,link,fonte,data,posicao,estado_heuristico,sentimento,estado,gargalo,texto_limpo,termos_relevantes,erro_classificacao
10,"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Jurisprudência sobre Programa Melhor em Casa,"O Município de Cuiabá encontra-se habilitado no Programa “Melhor em Casa”, recebendo recursos federais destinados à prestação de atenção domiciliar ...",https://www.jusbrasil.com.br/jurisprudencia/busca?q=programa+melhor+em+casa,Jusbrasil,"['Melhor em Casa', 'atenção domiciliar']",2,SE,positivo,MT,nenhum,jurisprudencia sobre cuiaba encontra habilitado recebendo recursos federais destinados prestacao atencao domiciliar,"equipe, transporte, medicamento",
11,"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Atraso na alta de uma idosa - 95 anos.,"Ela já está apta para alta, mas precisa continuar na sonda para alimentação e está esperando o programa Melhor em Casa fazer a visita no hospital e na nossa ...",https://www.reclameaqui.com.br/home-care-melhor-em-casa/atraso-na-alta-de-uma-idosa-95-anos_clF5LQd2cGdhLWEF/,Reclame Aqui,['Melhor em Casa'],3,PA,negativo,NA,escala,atraso alta uma idosa anos ela esta apta para alta mas precisa continuar sonda para alimentacao esta esperando fazer visita hospital nossa,"espera, idosa, sonda",
12,"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Wilker Barreto denuncia atrasos salariais e demissões de ...,Wilker Barreto denuncia atrasos salariais e demissões de profissionais terceirizados da saúde no programa 'Melhor em Casa'. Por Beatriz Souza.,https://www.aleam.gov.br/wilker-barreto-denuncia-atrasos-salariais-e-demissoes-de-profissionais-terceirizados-da-saude-no-programa-melhor-em-casa/,ALEAM | Assembleia Legislativa do Estado do Amazonas,26 de mar. de 2025,4,AM,negativo,NA,pessoal,wilker barreto denuncia atrasos salariais demissoes wilker barreto denuncia atrasos salariais demissoes profissionais terceirizados por beatriz souza,profissionais,
13,"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Pior em Casa | Desativação do Programa Melhor em Casa ...,... Melhor em Casa pela Prefeitura de Cabo Frio ... atraso na moeda social Itajuru. Pescadores da Gamboa relatam que ...,https://www.instagram.com/reel/DOcS_goDLB1/,Instagram · faladirleioficial,,5,,negativo,RJ,pessoal,pior desativacao pela cabo frio atraso moeda social itajuru pescadores gamboa relatam que,,
14,"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Protocolo de Regulação fisioterapia programa melhor em ...,O presente documento refere-se ao Protocolo de Regulação dos atendimentos fisioterapêuticos do Programa Melhor em Casa do Município de Biguaçu/ SC.,https://s3cache.dom.sc.gov.br/atos/2024/05/1717015306_pop_fisio_mec_regulacao_organizado_1.pdf,DOM/SC,['Melhor em Casa'],1,SE,positivo,SC,escala,protocolo regulacao fisioterapia presente documento refere protocolo regulacao dos atendimentos fisioterapeuticos biguacu,"fisioterapeuta, domicilio",
15,"""Melhor em Casa"" OR ""atencao domiciliar"" falha",NOTA PÚBLICA: A Verdade sobre o Serviço de Atenção ...,"... falha no atendimento do Serviço de Atenção Domiciliar (SAD). A situação decorre, na verdade, da omissão da Prefeitura, que não disponibiliza ...",https://sinsep.org.br/2026/03/18/nota-publica-a-verdade-sobre-o-servico-de-atencao-domiciliar-sad/,sinsep.org.br,há 8 dias,1,,negativo,NA,pessoal,nota publica verdade sobre atencao falha atencao domiciliar sad situacao decorre verdade omissao que nao disponibiliza,"medico, veiculo, medicamento",
16,"""Melhor em Casa"" OR ""atencao domiciliar"" falha",MPGO ajuíza ação para obrigar Município de Goiânia a ...,"... Atenção Domiciliar (SAD) e promover sua ... Melhor em Casa”. A medida resultou na interrupção ... Na ação, o promotor de Justiça argumenta que a situação ...",https://www.mpgo.mp.br/portal/noticia/mpgo-ajuiza-acao-para-obrigar-municipio-de-goiania-a-reestruturar-servico-de-atendimento-domiciliar-a-pacientes,Portal MPGO,"['Atenção Domiciliar', 'Melhor em Casa']",3,PA,negativo,GO,pessoal,mpgo ajuiza acao para obrigar goiania atencao domiciliar sad promover sua medida resultou interrupcao acao promotor justica argumenta que situacao,"pessoal, domicilio, transporte",
17,"""Melhor em Casa"" OR ""atencao domiciliar"" falha",JUSTIÇA | O Ministério Público de Goiás (MPGO) entrou ...,... Melhor em Casa” e na suspensão de repasses federais. Segundo o ... Atenção Domiciliar (SAD) seja reestruturado e recredenciado junto ao ...,https://www.instagram.com/p/DVPTdYdEcq8/,Instagram · portal6noticias,"['Melhor em Casa', 'Atenção Domiciliar']",4,,negativo,GO,pessoal,justica publico goias mpgo entrou suspensao repasses federais segundo atencao domiciliar sad seja reestruturado recredenciado junto,"medico, medicamento",
18,"""Melhor em Casa"" OR ""atencao domiciliar"" falha",Vereador Sargento Byron denuncia falhas na cobertura para ...,"De acordo com o Ministério da Saúde, o sistema de home care no Brasil, ou atenção domiciliar ... Melhor em Casa” busca atender pessoas que ...",https://www.aracaju.se.leg.br/institucional/noticias/vereador-sargento-byron-denuncia-falhas-na-cobertura-para-atendimento-domiciliar-por-convenios-de-saude,Câmara Municipal de Aracaju,11 de mar. de 2026,5,PA,negativo,NA,pessoal,vereador sargento byron denuncia falhas cobertura para acordo com sistema atencao domiciliar busca atender pessoas que,medico,
19,"""Melhor em Casa"" OR ""atencao domiciliar"" falha",Programa Melhor em Casa leva atendimento ...,"Integrado à Secretaria de Atenção Especializada à Saúde (SAES), o Melhor em Casa organiza o Serviço de Atenção Domiciliar (SAD) em articulação com a Atenção ...",http://www.bioredbrasil.com.br/programa-melhor-em-casa-leva-atendimento-especializado-ao-domicilio-de-pacientes-do-sus/,Biored Brasil,"['Melhor em Casa', 'Atenção Domiciliar']",1,,positivo,NA,nenhum,leva integrado atencao especializada saes organiza atencao domiciliar sad articulacao com atencao,profissional,
20,"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Programa Melhor em Casa,"Com o lançamento do Programa Melhor em Casa, em 2011, a qualificação e ampliação da Atenção Domiciliar no Sistema Único de Saúde (SUS) foram colocadas como ...",https://www.mpba.mp.br/sites/default/files/biblioteca/saude/temas-em-saude/atendimento_medico_domiciliar/melhor_em_casa_manual_monitoramento_avaliacao_programa.pdf,Ministério Público do Estado da Bahia. |,"['Melhor em Casa', 'Atenção Domiciliar']",2,BA,positivo,NA,nenhum,com lancamento qualificacao ampliacao atencao domiciliar sistema unico sus foram colocadas como,equipe,
21,"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Satisfação dos cuidadores e dos idosos usuários do ...,Avaliar a satisfação dos cuidadores e dos idosos usuários do serviço de atenção domiciliar por meio do Programa Melhor em Casa e seus fatores associados.,https://rsp.fsp.usp.br/pt-br/article/satisfacao-dos-cuidadores-e-dos-idosos-usuarios-do-programa-melhor-em-casa/,Revista de Saúde Pública,"['Avaliar', 'atenção domiciliar', 'Melhor em Casa']",3,,neutro,NA,pessoal,satisfacao dos cuidadores dos idosos avaliar satisfacao dos cuidadores dos idosos atencao domiciliar por meio seus fatores associados,"cuidadores, medicamentos, veiculos",
22,"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Atenção Domiciliar Programa Melhor em Casa,O Melhor em Casa é um Programa do Governo Federal em parceria com o Governo Estadual que tem como objetivo oferecer Atenção Domiciliar (AD) através da ...,http://ses.saude.am.gov.br/painel/melhor-em-casa/,SES-AM,"['Melhor em Casa', 'Atenção Domiciliar']",4,AM,positivo,NA,nenhum,atencao domiciliar parceria com estadual que tem como objetivo oferecer atencao domiciliar atraves,medico,
23,"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Manual de Monitoramento e Avaliação: Programa Melhor em ...,"Com o lançamento do Programa Melhor em Casa, em 2011, a qualificação e ampliação da Atenção Domiciliar no Sistema Único de Saúde (SUS) foram ...",https://biblioteca.cofen.gov.br/programa-melhor-em-casa/,Biblioteca Virtual de Enfermagem - Cofen,13 de mai. de 2020,1,,positivo,NA,nenhum,manual monitoramento avaliacao com lancamento qualificacao ampliacao atencao domiciliar sistema unico sus foram,"medico, frota",
24,"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",caracterização dos serviços de atenção domiciliar,Avaliação do serviço de atenção domiciliar em. Maranguape-Ceará: um ... Organização da atenção domiciliar com o Programa. Melhor em Casa. Rev Gaúcha ...,https://www.scielo.br/j/ean/a/QwgZ57nPfYZLqSxdfTCg4rM/?format=pdf&lang=pt,SciELO Brasil,"['Avaliação', 'atenção domiciliar', 'atenção domiciliar', 'Melhor em Casa']",2,,neutro,CE,pessoal,caracterizacao dos atencao domiciliar avaliacao atencao domiciliar maranguape ceara organizacao atencao domiciliar com rev gaucha,medico,
25,"""Melhor em Casa"" OR ""atencao domiciliar"" demora",Programa Melhor em Casa leva atendimento especializado ...,"Integrado à Secretaria de Atenção Especializada à Saúde (SAES), o Melhor em Casa organiza o Serviço de Atenção Domiciliar (SAD) em ...",https://www.gov.br/saude/pt-br/assuntos/noticias/2026/janeiro/programa-melhor-em-casa-leva-atendimento-especializado-ao-domicilio-de-pacientes-do-sus,www.gov.br,21 de jan. de 2026,2,,positivo,NA,nenhum,leva especializado integrado atencao especializada saes organiza atencao domiciliar sad,"medico, equipamento",
26,"""Melhor em Casa"" OR ""atencao domiciliar"" demora","Melhor em Casa,bem saúde - SECRETARIA MUNICIPAL DA ...","... melhor em casa e até agora nada minha está cada vez debilitada e perdendo os movimentos ela usa sonda enteral e de demora,precisamos de uma Fonodialogo e ...",https://www.reclameaqui.com.br/secretaria-municipal-da-saude/melhor-em-casabem-saude_rLrma-g7fasy8p2g/,Reclame Aqui,"['melhor em casa', 'demora']",3,,negativo,NA,pessoal,bem municipal ate agora nada minha esta cada vez debilitada perdendo movimentos ela usa sonda enteral demora precisamos uma fonodialogo,"sonda enteral, sonda demora, fonodialogo",
27,"""Melhor em Casa"" OR ""atencao domiciliar"" demora","Com atendimento domiciliar, Melhor em Casa leva ...","Com atendimento domiciliar, Melhor em Casa leva cuidado e atendimento humanizado a pacientes em Jundiaí · Plugin de acessibilidade da Hand Talk.",https://jundiai.sp.gov.br/noticias/2026/03/20/com-atendimento-domiciliar-melhor-em-casa-leva-cuidado-e-atendimento-humanizado-a-pacientes-em-jundiai/,Prefeitura de Jundiaí,['Melhor em Casa'],4,SP,positivo,SP,nenhum,com domiciliar leva com domiciliar leva cuidado humanizado jundiai plugin acessibilidade hand talk,jundiai,
28,"""Melhor em Casa"" OR ""atencao domiciliar"" demora",O Serviço de Atenção Domiciliar do Programa Melhor em ...,"O Serviço de Atenção Domiciliar do Programa Melhor em Casa leva saúde, acolhimento e dignidade até o lar de quem mais precisa. Porque o cuidado ...",https://www.instagram.com/reel/DPl3hsWDnr9/,Instagram · smscajazeiras,,5,,positivo,NA,nenhum,atencao domiciliar atencao domiciliar leva acolhimento dignidade ate lar quem mais precisa porque cuidado,"pessoal, frota, medicamentos",
