consulta,titulo,resumo,link,fonte,data,posicao,estado_heuristico
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Atenção Domiciliar – Melhor em Casa,"Atenção Domiciliar – Melhor em Casa · Ouvir · Com abordagens diferenciadas, esse tipo de serviço está disponível no Sistema Único de Saúde (SUS).",https://uai.spdmafiliadas.org.br/atencao-domiciliar-melhor-em-casa/,SPDM Afiliadas,"['Atenção Domiciliar', 'Melhor em Casa']",9,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Programa Melhor em Casa completa dois anos de ...,"Implantado há dois anos pela Secretaria de Saúde, o programa Melhor em Casa, mantido pelo Serviço de Atenção Domiciliar (SAD), realizou cerca de ...",https://www.petropolis.rj.gov.br/pmp/index.php/noticias/item/13293-programa-melhor-em-casa-completa-dois-anos-de-implanta%C3%A7%C3%A3o,Prefeitura Municipal de Petrópolis,6 de jun. de 2019,10,RJ
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Melhor em Casa presta atendimento a 52...,O Programa Melhor em Casa é uma assistência para pessoas que estejam em situações nas quais a atenção domiciliar é a mais indicada para seu tratamento. “Esse ...,https://www.ilhabela.sp.gov.br/portal/noticias/0/3/5817/melhor-em-casa-presta-atendimento-a-52-pacientes-em-ilhabela,Prefeitura Municipal de Ilhabela,"['Melhor em Casa', 'atenção domiciliar']",1,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Ministério da Saúde,"O Programa Melhor em Casa, criado em 2011, é dedicado ao cuidado multiprofissional em saúde e oferece tratamento de doenças, prevenção de ...",https://www.facebook.com/minsaude/posts/-o-programa-melhor-em-casa-criado-em-2011-%C3%A9-dedicado-ao-cuidado-multiprofissiona/972919228213452/,Facebook · Ministério da Saúde,['Melhor em Casa'],2,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Pacientes acamados serão beneficiados pelo programa,"... Melhor em Casa”. Pacientes acamados serão beneficiados pelo programa ""Melhor em Casa"". Para atender pacientes acamados e/ou que não podem se locomover até as ...",https://www.rancharia.sp.gov.br/portal/noticias/0/3/13875/pacientes-acamados-serao-beneficiados-pelo-programa-melhor-em-casa,Prefeitura Municipal de Rancharia - SP,"['Melhor em Casa', 'Melhor em Casa']",3,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Melhor em Casa Belém: 10 anos oferecendo atendimento ...,"... atenção domiciliar (Emad) do Programa, o critério para participar do “Melhor em Casa Belém” segue as seguintes etapas: é preciso que o ...",https://agencia.belem.pa.gov.br/melhor-em-casa-belem-10-anos-oferecendo-atendimento-domiciliar/,Belem.pa.gov.br,11 de mai. de 2025,5,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Atenção Domiciliar - Secretaria Municipal da Saúde,"Conheça o Programa Melhor em Casa É um Serviço de Atenção Domiciliar (SAD), criado pelo Governo Federal com o objetivo de ampliar o ...",https://prefeitura.sp.gov.br/web/saude/w/atencao_basica/12923,Prefeitura de São Paulo,"['Melhor em Casa', 'Atenção Domiciliar']",8,SP
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Programa Melhor em Casa – PMeC,"Programa Melhor em Casa – PMeC. O programa é uma das estratégias do Ministério da Saúde, criado em 2011, para promover a atenção domiciliar no SUS, configurando ...",https://www.saude.ba.gov.br/atencao-a-saude/dae/programa-melhor-em-casa-pmec/,Sesab,"['Melhor em Casa', 'atenção domiciliar']",2,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Programa Melhor em Casa presta atendimento ...,... Melhor em Casa - Serviço de Atenção Domiciliar (EMAD/EMAP). O serviço é indicado para atender pacientes que necessitam de assistência médica ...,https://www.fortaleza.ce.gov.br/noticias/programa-melhor-em-casa-presta-atendimento-humanizado-em-domicilio-na-capital,Prefeitura de Fortaleza,12 de set. de 2022,4,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Programa Melhor em Casa | Sua Saúde na Rede,Programa Melhor em Casa | Sua Saúde na Rede. 22K views · 7 years ago ... VAMOS APRENDER UM POUQUINHO SOBRE A ATENÇÃO DOMICILIAR... Prof ...,https://www.youtube.com/watch?v=1bT9yYsyb5E,YouTube · Sua Saúde na Rede,,5,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Programa Melhor em Casa leva atendimentos médicos ...,"Em Nova Iguaçu, o Programa Melhor em Casa tem oito equipes de atenção domiciliar, com médicos, enfermeiros, fisioterapeutas e técnicos de ...",https://novaiguacu.rj.gov.br/2023/08/31/programa-melhor-em-casa-leva-atendimentos-medicos-nas-residencias-dos-pacientes/,Prefeitura de Nova Iguaçu,31 de ago. de 2023,7,RJ
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",programa melhor em casa - Seu próximo passo é ganhar,Usar programa melhor em casa melhora a fluidez das rodadas e acaba virando parte da rotina. - O interessante é que o fluxo geral melhora muito de modo natural.,https://www.cbhriodoisrios.org.br/?video=programa-melhor-em-casa,Comitê Rio Dois Rios,['melhor em casa'],2,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Vamos conhecer como funciona o programa Melhor em Casa! ...,"Programa Melhor em Casa a Prefeitura de Joaquim Gomes leva cuidado e atendimento médico direto a casa dos nossos pacientes, tudo começa com a equipe se ...",https://www.instagram.com/reel/DHT5u5MOpyk/,Instagram,['Melhor em Casa'],3,SE
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",PROGRAMA MELHOR EM CASA COMEÇA HOJE EM ...,PROGRAMA MELHOR EM CASA COMEÇA HOJE EM MARACANÃ ... O Programa procura também diminuir os índices de internados no Hospital e aumentar a cobertura de atendimentos ...,https://maracana.pa.gov.br/programa-melhor-em-casa-comeca-hoje-em-maracana-2/,Prefeitura Municipal de Maracanã,['MELHOR EM CASA'],6,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Você conhece o Programa Melhor em Casa? Ele leva ...,Você conhece o Programa Melhor em Casa? Ele leva atendimento de saúde de qualidade até a casa de quem mais precisa — em todos os cantos da cidade!...,https://www.facebook.com/pmsaposse/posts/voc%C3%AA-conhece-o-programa-melhor-em-casaele-leva-atendimento-de-sa%C3%BAde-de-qualidade/1273999521431799/,Facebook,['Melhor em Casa'],7,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona","o desafio de cuidar | Belo Horizonte; s.n; 2020. 104 p. ilus., tab. ...","... Melhor em casa: o desafio de cuidar. Melhor em ... funciona na prática, levantando possíveis lacunas e potencialidades. ... Considera-se que a atenção domiciliar ...",https://busqueda.bvsalud.org/portal/resource/pt/biblio-1377917,BVS,"['Melhor em casa', 'Melhor em', 'funciona', 'atenção domiciliar']",8,SE
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Secretaria de Saúde segue com programas Melhor em Casa e ...,Hoje são atendidas 13 grávidas (7 de Alto Risco e 6 de risco intermediário) e 34 pacientes no Melhor em Casa. ... atenção domiciliar é a mais indicada para o seu ...,https://chopinzinho.pr.gov.br/noticias_individual/508,Prefeitura Municipal de Chopinzinho/PR,"['Melhor em Casa', 'atenção domiciliar']",9,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Tem dúvidas sobre como funciona o encaminhamento para ...,... funciona o encaminhamento para o Melhor em Casa ... O Grupo Essencial tem o orgulho de apoiar o Simpósio Sudeste de Atenção Domiciliar ... Join Melhor em Casa ...,https://www.instagram.com/p/DU6OXFHiaHC/,Instagram,"['funciona', 'Melhor em Casa', 'Atenção Domiciliar', 'Melhor em Casa']",1,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",O que é e como funciona o Home Care: os cuidados de saúde ...,... Atenção Domiciliar para aquele caso específico. Sistema Único de ... Melhor em Casa – É um programa criado pelo governo federal para ...,https://blog.homedoctor.com.br/como-funciona-o-home-care/,homedoctor.com.br,31 de out. de 2023,2,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",SAÚDE | Campo Maior agora conta com o Serviço de Atenção ...,"Em Campo Maior, a Equipe Multiprofissional do Serviço de Atenção Domiciliar – Melhor em Casa será formada por 01 Médico, 01 Enfermeiro, 02 ...",https://www.campomaior.pi.gov.br/noticia/697-saude-%7C-campo-maior-agora-conta-com-o-servico-de-atencao-domiciliar-%E2%80%93-melhor-em-casa--veja-como-funciona,campomaior.pi.gov.br,13 de set. de 2021,3,PI
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Atenção Domiciliar,Atenção Domiciliar. A+ A- · reabilitação funcional; · educação em saúde; · incentivo ao autocuidado e autonomia; · prevenção de complicações e manifestações mais ...,https://www2.geap.com.br/ATENCAO-DOMICILIAR/atencao-domiciliar.asp,GEAP,['Atenção Domiciliar'],4,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Atenção Domiciliar | Como funciona e por que é importante -,"A Atenção Domiciliar é uma forma de cuidado à saúde que entrega aos pacientes um conjunto amplo de cuidados. As ações de promoção à saúde, ...",https://www.pronep.com.br/blog/atencao-domiciliar-o-que-e/,Pronep Life Care,3 de mar. de 2021,5,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",SAÚDE TERÁ MUTIRÃO PARA REDUZIR FILA DE...,"Paralelamente, a Secretaria de Saúde lança o programa “Melhor em Casa”, que contará com uma equipe multidisciplinar para atendimento domiciliar. O objetivo é ...",https://www.aparecida.sp.gov.br/portal/noticias/0/3/4510/saude-tera-mutirao-para-reduzir-fila-de-consultas-e-lanca-programa-melhor-em-casa,Prefeitura de Aparecida,['Melhor em Casa'],6,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Diretora-superintendente do GHC recebe representante do ...,"O Melhor em Casa está reabilitando os pacientes em domicílio, garantindo a continuidade do tratamento integrado à rede de atenção à saúde. Além disso, o ...",https://www.ghc.com.br/noticia.aberta.asp?idRegistro=8257,Grupo Hospitalar Conceição,['Melhor em Casa'],7,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" como funciona",Protocolo de Serviço de Atenção Domiciliar – EMAD/EMAP ...,SERVIÇO DE ATENÇÃO DOMICILIAR/PROGRAMA MELHOR EM CASA ........ 5. 2.1 ... Reabilitação: incapacidade funcional para atividades da vida diária. (AVDs) e ...,https://observasaudecatanduva.sp.gov.br/wp-content/uploads/2021/01/Protocolo-de-Servico-de-Atencao-Domiciliar-%E2%80%93-EMAD-EMAP-do-Municipio-de-Catanduva-PROTEGIDO.pdf,Observatório Saúde Catanduva,"['ATENÇÃO DOMICILIAR', 'MELHOR EM CASA']",8,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso","Portaria GM/MS nº 3.005, de 2 de janeiro de 2024","... regras do Serviço de Atenção Domiciliar (SAD) e do Programa Melhor em Casa (PMeC). O MINISTRO DE ESTADO DA SAÚDE, SUBSTITUTO, no uso das ...",https://bvsms.saude.gov.br/bvs/saudelegis/gm/2024/prt3005_05_01_2024.html,Biblioteca Virtual em Saúde MS,2 de jan. de 2024,3,MS
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Documentos técnicos - Atenção domiciliar,Documentos técnicos - Atenção domiciliar · Caderno do Melhor em Casa - Volume 1 · Caderno do Melhor em Casa - Volume 2 · Caderno do Melhor em Casa ...,https://prefeitura.sp.gov.br/web/saude/w/atencao_basica/347460,Prefeitura de São Paulo,4 de set. de 2025,5,SP
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",SERVIÇOS DE ATENÇÃO DOMICILIAR: CRITÉRIOS DE ...,"De acordo com as normativas do Programa Melhor em Casa, a alta da atenção domiciliar refere-se ao encerramento da prestação dos serviços decorrente da melhora ...",https://www.redalyc.org/journal/408/40848190013/html/,Redalyc.org,"['Melhor em Casa', 'atenção domiciliar']",7,SE
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",caracterização dos serviços de atenção domiciliar Melhor ...,Organização da atenção domiciliar com o Programa Melhor em Casa. Rev Gaúcha Enferm. 2018;39(1):e2016-0002. http://dx.doi.org/10.1590/1983-1447.2018.2016 ...,https://www.scielo.br/j/ean/a/QwgZ57nPfYZLqSxdfTCg4rM/?lang=pt,SciELO,"['atenção domiciliar', 'Melhor em Casa']",9,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",PROGRAMA MELHOR EM CASA : atenção domiciliar ...,"O Serviço de Atenção Domiciliar do Melhor em casa em Maravilha teve início à cinco anos e conta com um médico clínico geral, uma enfermeira, uma técnica em ...",https://esp.saude.sc.gov.br/index.php/component/phocadownload/category/9-noticias?download=36:programa-melhor-em-casa-atencao-domiciliar-como-forma-de-cuidado-integral-e-humanizado,Escola de Saúde Pública de Santa Catarina,"['Atenção Domiciliar', 'Melhor em casa']",10,SC
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Programa Melhor em Casa - Prefeitura de Angra dos Reis,Programa Melhor em Casa. Saúde. O Programa Melhor em Casa é um programa de atenção domiciliar que tem por objetivos: Promover a desospitalização dos ...,https://cartadeservicos.angra.rj.gov.br/servico.asp?c=540,Prefeitura de Angra dos Reis,"['Melhor em Casa', 'Melhor em Casa', 'atenção domiciliar']",3,RJ
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Programa Melhor em Casa garante atendimento ...,"... Atenção Domiciliar), responsável pela avaliação inicial e admissão do paciente e; ... Vanessa pontua que o acesso ao Programa Melhor em Casa ...",https://www.primaveradoleste.mt.gov.br/Imprensa/Noticias/Programa-melhor-em-casa-garante-atendimento-humanizado-e-especializado-no-domicilio-em-primavera-do-leste-11017/,Prefeitura de Primavera do Leste,22 de jan. de 2026,4,MT
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Perfil e condições clínicas de pacientes atendidos no ...,Perfil e condições clínicas de pacientes atendidos no programa “Melhor em Casa”. INTRODUÇÃO. A Atenção Domiciliar (AD) é uma das atribuições da Atenção Primária ...,https://periodicos.ufpe.br/revistas/index.php/revistaenfermagem/258610PT,Universidade Federal de Pernambuco - UFPE,"['Melhor em Casa', 'Atenção Domiciliar']",5,PE
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Atenção domiciliar,"Assim, o ""Melhor em Casa"" complementa a Atenção Domiciliar ao reforçar a importância da continuidade do cuidado e a redução da sobrecarga hospitalar. 29/01 ...",https://www.saude.df.gov.br/atencao-domiciliar,Secretaria de Saúde do Distrito Federal,"['Melhor em Casa', 'Atenção Domiciliar']",7,DF
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Atenção domiciliar Unimed-BH: como funciona e como ...,O objetivo do serviço de atenção domiciliar é proporcionar aos pacientes que preenchem os critérios de elegibilidade para cada programa um ...,https://viverbem.unimedbh.com.br/unimed-bh/atencao-domiciliar/,Viver Bem Unimed-BH,20 de set. de 2022,8,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Nota Informativa nº 5/2025-CGADOM/DAHU/SAES/MS,"Orientações sobre a atuação das Equipes dos Serviços de Atenção Domiciliar (SAD), vinculadas ao Programa Melhor em Casa.",https://www.gov.br/saude/pt-br/composicao/saes/melhor-em-casa/notas-tecnicas-e-informativas/nota-informativa-no-5-2025-cgadom-dahu-saes-ms,www.gov.br,19 de mar. de 2025,9,MS
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Programa Melhor em Casa leva atendimento especializado ao ...,"Em geral, o serviço é direcionado a pessoas com condições ... condições de Serviço de Atenção Domiciliar (SAD), o Programa Melhor em Casa em nosso município.",https://www.instagram.com/p/DUIvdTKkump/,Instagram,"['Atenção Domiciliar', 'Melhor em Casa']",10,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",PROGRAMA MELHOR EM CASA: CUIDADO DOMICILIAR ...,Este estudo procurou avaliar a efetividade do cuidado domiciliar a idosos no âmbito do Programa Melhor em Casa ... Atenção Domiciliar (SAD) e do Programa Melhor ...,https://revistaft.com.br/programa-melhor-em-casa-cuidado-domiciliar-prestado-a-idosos/,RevistaFT,"['Melhor em Casa', 'Atenção Domiciliar', 'Melhor']",4,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",MANUAL DE ATENÇÃO DOMICILIAR,"sitários, Programa Melhor em Casa ... NÚCLEO NACIONAL DAS EMPRESAS DE SERVIÇOS DE ATENÇÃO DOMICILIAR. MANUAL DE ATENÇÃO DOMICILIAR. Critérios técnicos para ...",http://www.anahp.com.br/wp-content/uploads/2022/12/Manual_de_Atendimento_Domiciliar_versaofinal.pdf,Anahp - Associação Nacional de Hospitais Privados,"['Melhor em Casa', 'ATENÇÃO DOMICILIAR', 'ATENÇÃO DOMICILIAR', 'Critérios']",5,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Desafios e Perspectivas na Atenção Domiciliar,PROGRAMA MELHOR EM CASA: DESAFIOS E PERSPECTIVAS NA ATENÇÃO DOMICILIAR - REVISÃO DE LITERATURA. BETTER AT HOME PROGRAM: CHALLENGES AND PERSPECTIVES IN HOME ...,https://revistasaudecoletiva.com.br/index.php/saudecoletiva/article/view/3741/5099,Saúde Coletiva (Barueri),"['MELHOR EM CASA', 'ATENÇÃO DOMICILIAR']",6,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",CAB/SEABVES Nº1/2023 Serviço de Atenção Domiciliar,Serviço de Atenção Domiciliar - Programa Melhor em Casa. Atualizada em 20/06/2024 – 4º versão. I. INTRODUÇÃO. O ciclo completo da Assistência ...,https://www.prefeitura.sp.gov.br/cidade/secretarias/upload/instrucao_normativa_melhor_em_casa_jun24.pdf,Prefeitura de São Paulo,20 de jun. de 2024,7,SP
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",caracterização dos serviços de atenção domiciliar,Organização da atenção domiciliar com o Programa. Melhor em Casa. Rev Gaúcha ... Satisfação do usuário da Atenção Primária no Distrito. Federal: a importância do ...,https://www.scielo.br/j/ean/a/QwgZ57nPfYZLqSxdfTCg4rM/?format=pdf&lang=pt,SciELO,"['atenção domiciliar', 'Melhor em Casa']",8,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",FLUXO PROGRAMA MELHOR EM CASA BVAPS,O Programa Melhor em Casa é um programa de atenção domiciliar que tem por objetivos: ... critérios de inclusão no programa: Residir no município de Porto ...,https://prefeitura.poa.br/sites/default/files/usu_doc/hotsites/sms/bvaps-biblioteca-virtual-de-atencao-primaria-saude/FLUXO%20PROGRAMA%20MELHOR%20EM%20CASA%20BVAPS.pdf,Prefeitura de Porto Alegre,"['Melhor em Casa', 'atenção domiciliar', 'critérios']",10,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Melhor em Casa: atendimento médico especializado é ...,"Instituído pelo governo federal em 2011, o Serviço de Atenção Domiciliar ... critérios de elegibilidade para o Melhor em Casa. Quando nos ...",https://www.saocristovao.se.gov.br/noticia/melhor-em-casa-atendimento-medico-especializado-e-realizado-na-casa-dos-pacientes-em-sao-cristovao,Prefeitura Municipal de São Cristóvão - SE,17 de dez. de 2020,3,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" criterios de acesso",Atenção Domiciliar — Ministério da Saúde,... Atenção Domiciliar (SAD) – Melhor em Casa. A Atenção Domiciliar proporciona ao paciente um cuidado ligado diretamente aos aspectos referentes à estrutura ...,https://www.gov.br/saude/pt-br/composicao/saes/dahu/atencao-domiciliar,GOV.BR,"['Atenção Domiciliar', 'Melhor em Casa', 'Atenção Domiciliar']",4,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",Programa Melhor em Casa realiza mais de 2 mil ...,Programa Melhor em Casa: Atenção domiciliar é apresentada a futuros médicos em Santarém. Saúde · Prefeitura de Santarém inicia força-tarefa ...,https://santarem.pa.gov.br/noticias/saude/programa-melhor-em-casa-realiza-mais-de-2-mil-atendimentos-em-5-meses-xtb3ql,Prefeitura Municipal de Santarém,3 de mai. de 2024,6,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura","Conheça o “Melhor em Casa”, o Programa de Assistência ...","Disponível no Sistema Único de Saúde (SUS), o programa Melhor em Casa integra os Serviços de Atenção Domiciliar e é caracterizado pelo ...",https://www.ibes.med.br/conheca-o-melhor-em-casa-o-programa-de-assistencia-domiciliar-do-sus/,Grupo IBES,25 de mar. de 2024,8,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",O que é o Programa de Atenção Domiciliar?,"O que é o Programa de Atenção Domiciliar? É um conjunto de serviços prestado de forma continuada, desenvolvido fora do ambiente hospitalar e adequado às ...",https://centralsaudecaixa.com.br/faq/o-que-e-programa-de-atencao-domiciliar/,Central de Atendimento do Saúde CAIXA.,['Atenção Domiciliar'],9,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" cobertura",O programa Melhor em Casa oferece atendimento médico ...,O programa Melhor em Casa oferece atendimento médico domiciliar às ... cobertura do programa. Quer saber mais? Só dar play no vídeo. <3 ...,https://www.facebook.com/prefeituradenovaiguacu/videos/nova-igua%C3%A7u-amplia-programa-de-atendimento-domiciliar/2176253182463311/,Facebook · Prefeitura de Nova Iguaçu,,10,NA
