id_mencao;query;fonte_coleta;titulo;url;resumo;data_publicacao;veiculo;sentimento;posicionamento;tema;confianca;justificativa;metodo_classificacao;modelo_usado;erro_classificacao
11;"""Programa Melhor em Casa"" reclamacoes";serpapi;Programa Melhor em Casa assegura atendimento ...;https://guarapuava.pr.gov.br/noticias/programa-melhor-em-casa-assegura-atendimento-domiciliar-multiprofissional-de-qualidade-a-populacao-de-guarapuava/;Somente no ano de 2022, foram realizados mais de 12 mil atendimentos. A primeira equipe do Programa Melhor em Casa de Guarapuava foi habilitada ...;27 de jan. de 2023;Prefeitura de Guarapuava;positivo;apoio;saúde pública;0.8;Relata sucesso do programa, indicando impacto positivo na população.;gemini;gemma-3-4b-it;
12;"""Programa Melhor em Casa"" reclamacoes";serpapi;Programa “Melhor em Casa” é ampliado e pacientes ...;https://www.alagoinhas.ba.gov.br/index.php/programa-melhor-em-casa-e-ampliado-e-pacientes-passam-a-ser-acompanhados-desde-a-alta-hospitalar/;A Secretaria Municipal de Saúde (Sesau) está intensificando as ações do programa “Melhor em Casa ... Para queixas, sugestões e elogios, clique ...;7 de mai. de 2025;Prefeitura de Alagoinhas;neutro;informativo;expansão programa saúde;0.7;Relato de expansão de programa, sem avaliação de impacto ou opinião.;gemini;gemma-3-4b-it;
13;"""Programa Melhor em Casa"" reclamacoes";serpapi;BELFORD ROXO REATIVA PROGRAMA MELHOR EM ...;https://www.facebook.com/PrefeituradeBelfordRoxo/posts/belford-roxo-reativa-programa-melhor-em-casaa-prefeitura-retomou-o-programa-melh/1066517413454153/;"Com a ajuda do programa ""MELHOR EM CASA "" ela teve muita apoio como fisioterapia, médico, dentista e Fonologia. Por um período ficamos sem ...";;Facebook · Prefeitura de Belford Roxo;positivo;apoio;saúde pública;0.7;Programa de apoio oferece serviços essenciais, demonstrando iniciativa governamental positiva.;gemini;gemma-3-4b-it;
14;"""Programa Melhor em Casa"" reclamacoes";serpapi;Assistindo pacientes em domicílio, Programa Melhor em ...;https://agencia.ac.gov.br/assistindo-pacientes-em-domicilio-programa-melhor-em-casa-completa-10-anos/;O Serviço de Atenção Domiciliar (SAD) Programa Melhor em Casa, da Secretaria de Saúde do Acre (Sesacre), comemora, em novembro, ...;5 de nov. de 2022;Agência de Notícias do Acre;neutro;informativo;Serviço de Atenção Domiciliar;0.8;Relato factual sobre um programa de saúde, sem expressar opinião.;gemini;gemma-3-4b-it;
15;"""Programa Melhor em Casa"" reclamacoes";serpapi;REQUERIMENTO Solicito informações sobre a mudança da ...;https://araras.siscam.com.br/arquivo?Id=168754;Solicito informações sobre a mudança da “farmácia de alto custo” e do Programa “Melhor em Casa” para o prédio do antigo Laboratório Zurita, localizado na ...;;siscam.com.br;neutro;informativo;farmácia de alto custo;0.8;Requerimento formal de informação sobre mudanças em serviços de saúde.;gemini;gemma-3-4b-it;
16;"""Programa Melhor em Casa"" reclamacoes";serpapi;SOS Emergências e Melhor em Casa;https://www.epsjv.fiocruz.br/noticias/reportagem/sos-emergencias-e-melhor-em-casa-1;... queixas dos usuários e familiares e/ou cuidadores como parte do ... As equipes do programa Melhor em Casa devem estar vinculadas a ...;23 de nov. de 2011;Escola Politécnica de Saúde Joaquim Venâncio | EPSJV | Fiocruz;neutro;informativo;saúde domiciliar;0.8;Foco na descrição do programa e queixas, sem juízo de valor explícito.;gemini;gemma-3-12b-it;
17;"""Programa Melhor em Casa"" reclamacoes";serpapi;“Melhor em Casa!?” A resiliência do profissional frente a ...;https://sapientia.pucsp.br/bitstream/handle/22702/2/Thais%20de%20Cassia%20Peixoto%20Maldonado.pdf;“Programa Melhor em Casa: 'a segurança do hospital no conforto da sua casa ... primeira visita domiciliar com pacientes em estado crítico, queixas de dor, feridas ...;;REPOSITORIO PUCSP;misto;informativo;Atendimento Domiciliar;0.8;Descreve o programa e suas aplicações, sem expressar apoio ou crítica direta.;gemini;gemma-3-12b-it;
18;"""Programa Melhor em Casa"" reclamacoes";serpapi;Prefeitura de Valinhos - Programa Melhor em Casa;https://www.valinhos.sp.gov.br/portal/secretarias-paginas/42/programa-melhor-em-casa/;Observação: O Programa Melhor em Casa não realiza atendimento de urgência/emergência devendo ser acionado nestes casos o 192 e não é destinado para entrega de ...;;Prefeitura de Valinhos;neutro;informativo;Programa de Saúde;0.95;O texto informa limitações do programa, sem expressar opinião positiva ou negativa.;gemini;gemma-3-12b-it;
19;"""Programa Melhor em Casa"" reclamacoes";serpapi;Programa Melhor em Casa;https://www.jacarei.sp.gov.br/servico/programa-melhor-em-casa/;Prazo máximo para a prestação do serviço, As avaliações de elegibilidade para admissão pelo Programa Melhor em Casa ocorrem em um prazo de até 48h úteis, e os ...;;Prefeitura Municipal de Jacareí;neutro;informativo;Programa Melhor em Casa;0.95;O texto descreve um procedimento do programa, sem expressar opinião.;gemini;gemma-3-12b-it;
20;"""Programa Melhor em Casa"" reclamacoes";serpapi;POR QUE É MELHOR EM CASA? A PERCEPÇÃO DE ...;https://www.redalyc.org/journal/4836/483654880001/html/;... Programa Melhor em Casa. A produção dos dados foi realizada por meio de visitas aos municípios, entrevistas com os gestores e acompanhamento do trabalho das ...;;Redalyc.org;neutro;informativo;Saúde Domiciliar;0.9;O resumo descreve uma pesquisa sobre o programa, sem expressar opinião.;gemini;gemma-3-12b-it;
21;"""Programa Melhor em Casa"" reclamacoes";serpapi;Bom Dia Tocantins | Pacientes podem receber atendimentos ...;https://globoplay.globo.com/v/13133860/;Pacientes podem receber atendimentos de saúde domiciliar com o Programa Melhor em Casa.;;Globoplay;positivo;informativo;saude domiciliar;0.95;O texto descreve um programa de atendimento domiciliar, indicando uma iniciativa positiva.;gemini;gemma-3-12b-it;
22;"""Programa Melhor em Casa"" reclamacoes";serpapi;Melhor em Casa realiza mais de 4 mil atendimentos em 2025;https://www.saoroque.sp.gov.br/portal/noticias/0/3/11310/melhor-em-casa-realiza-mais-de-4-mil-atendimentos-em-2025/;O programa Melhor em Casa, já realizou mais de 4 mil atendimentos apenas em 2025. Os números mostram a evolução desta importante ação de ...;1 de dez. de 2025;Prefeitura de São Roque;positivo;apoio;saúde domiciliar;0.8;Aumento de atendimentos indica expansão e sucesso do programa de saúde.;gemini;gemma-3-4b-it;
23;"""Programa Melhor em Casa"" reclamacoes";serpapi;r;https://www.senadorpompeu.ce.gov.br/conselhoarquivo/10/40/resolucaocmsspn.052022.pdf;que o Programa Melhor em Casa (Serviço de Atenção domiciliar) é um dos componentes das. Redes de Atenção às Urgências e Emergências (RUE) e deve estar ...;;Prefeitura de Senador Pompeu;neutro;informativo;Serviço de Atenção Domiciliar;0.8;Apresenta o programa como parte de redes de atenção, sem avaliação crítica.;gemini;gemma-3-4b-it;
24;"""Programa Melhor em Casa"" reclamacoes";serpapi;RELATÓRIO GERENCIAL;https://docs.uberlandia.mg.gov.br/wp-content/uploads/2022/07/Relat%C3%B3rio-Gerencial-2%C2%BA-Quadrimestre-2018.pdf;Ouvidoria do SUS ... PROGRAMA MELHOR EM CASA. 0. 1. 1. PROGRAMA DE SAUDE DA MULHER. 0. 1. 1. VIGILÂNCIA ...;;Portal da Prefeitura de Uberlândia;neutro;informativo;política de saúde;0.7;Relato de programas e ações do SUS, sem avaliação explícita.;gemini;gemma-3-4b-it;
25;"""Programa Melhor em Casa"" reclamacoes";serpapi_news_engine;Jorge Luiz faz queixas quanto a regularidade de atendimento no programa “Melhor em Casa”;https://portalon.com.br/jaguariuna/jorge-luiz-faz-queixas-quanto-a-regularidade-de-atendimento-no-programa-melhor-em-casa/;;06/13/2025, 07:00 AM, +0000 UTC;{'name': 'Portal ON', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://portalon.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'};negativo;critica;atendimento em saúde;0.8;Texto expressa insatisfação com a regularidade do atendimento, indicando problema.;gemini;gemma-3-4b-it;
26;"""Programa Melhor em Casa"" reclamacoes";serpapi_news_engine;Longa espera por consultas e falta de médicos lideram queixas sobre rede municipal de Fortaleza, diz pesquisa;https://diariodonordeste.verdesmares.com.br/ceara/longa-espera-por-consultas-e-falta-de-medicos-lideram-queixas-sobre-rede-municipal-de-fortaleza-diz-pesquisa-1.3585286;;11/22/2024, 08:00 AM, +0000 UTC;{'name': 'Diário do Nordeste', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://diariodonordeste.verdesmares.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'};negativo;critica;saúde pública;0.8;Pesquisa aponta problemas graves na rede municipal de saúde em Fortaleza.;gemini;gemma-3-4b-it;
27;"""Programa Melhor em Casa"" reclamacoes";serpapi_news_engine;Vereadores de Cristino Castro realizam vistorias em Unidades de Saúde e Hospital;https://www.falapiaui.com/noticia/10107/vereadores-de-cristino-castro-realizam-vistorias-em-unidades-de-saaode-e-hospital;;04/16/2021, 07:00 AM, +0000 UTC;{'name': 'Fala Piauí', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.falapiaui.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'};neutro;informativo;vistorias em saúde;0.8;Relato factual de ações de vereadores, sem expressar opinião ou avaliação.;gemini;gemma-3-4b-it;
28;"""Programa Melhor em Casa"" e bom?";serpapi;Melhor em casa — Ministério da Saúde - Governo Federal;https://www.gov.br/saude/pt-br/composicao/saes/melhor-em-casa;O Programa Melhor em Casa é uma iniciativa que oferece cuidado domiciliar para pacientes que precisam de atenção contínua, evitando internações prolongadas ...;;www.gov.br;positivo;apoio;saúde domiciliar;0.8;A iniciativa visa melhorar o atendimento e evitar internações, demonstrando foco no bem-estar do paciente.;gemini;gemma-3-4b-it;
29;"""Programa Melhor em Casa"" e bom?";serpapi;Melhor em Casa Belém: 10 anos oferecendo atendimento ...;https://agencia.belem.pa.gov.br/melhor-em-casa-belem-10-anos-oferecendo-atendimento-domiciliar/;O programa “Melhor em Casa Belém” oferece suporte a uma ampla gama de condições de saúde. Mas, segundo Leite, que atua há seis anos no projeto, ...;11 de mai. de 2025;belem.pa.gov.br;positivo;apoio;saúde pública;0.8;Resumo elogia o programa e seu impacto positivo na saúde da população.;gemini;gemma-3-4b-it;
30;"""Programa Melhor em Casa"" e bom?";serpapi;Programa Melhor em Casa leva atendimento especializado ...;https://www.gov.br/saude/pt-br/assuntos/noticias/2026/janeiro/programa-melhor-em-casa-leva-atendimento-especializado-ao-domicilio-de-pacientes-do-sus;Programa Melhor em Casa leva atendimento especializado ao domicílio de pacientes do SUS · Atendimento no lugar certo, com mais conforto e vínculo.;21 de jan. de 2026;www.gov.br;positivo;apoio;saude publica;0.8;Destaca os benefícios do programa para pacientes e o SUS, indicando apoio.;gemini;gemma-3-4b-it;
31;"""Programa Melhor em Casa"" e bom?";serpapi;Programa Melhor em Casa: Prefeitura de Fortaleza atende ...;https://www.fortaleza.ce.gov.br/noticias/programa-melhor-em-casa-prefeitura-de-fortaleza-atende-mais-de-1-200-pacientes-e-realiza-mais-de-100-mil-atendimentos-em-2025;Programa Melhor em Casa: Prefeitura de Fortaleza atende mais de 1.200 pacientes e realiza mais de 100 mil atendimentos em 2025. O Programa ...;29 de dez. de 2025;Prefeitura de Fortaleza;positivo;apoio;saúde pública;0.8;Relata sucesso do programa, com aumento de pacientes e atendimentos.;gemini;gemma-3-4b-it;
32;"""Programa Melhor em Casa"" e bom?";serpapi;Pacientes do programa Melhor em Casa contam com ...;https://itatiaia.rj.gov.br/noticias/pacientes-do-programa-melhor-em-casa-contam-com-atendimento-humanizadoem-itatiaia;Criado em 2013 pela portaria 1.208, de 18 de junho, o programa 'Melhor em Casa' é um serviço de atendimento domiciliar do governo federal, sob administração ...;;Itatiaia/RJ;neutro;informativo;saúde domiciliar;0.8;Apresenta informações sobre um programa governamental, sem expressar opinião.;gemini;gemma-3-4b-it;
33;"""Programa Melhor em Casa"" e bom?";serpapi;Pacientes do Programa Melhor em Casa do HGP agora ...;https://www.to.gov.br/secom/noticias/pacientes-do-programa-melhor-em-casa-do-hgp-agora-contam-com-atendimentos-noturnos/c4vupdp1s6t;O Programa Melhor em Casa busca proporcionar qualidade de vida ao usuário do Sistema Único de Saúde. Os pacientes são de média complexidade que ...;19 de jun. de 2023;Governo do Tocantins;positivo;apoio;saúde domiciliar;0.8;Resumo enfatiza a busca por qualidade de vida e o papel do SUS.;gemini;gemma-3-4b-it;
34;"""Programa Melhor em Casa"" e bom?";serpapi;Programa Melhor em Casa garante atendimento domiciliar ...;https://agencia.ac.gov.br/programa-melhor-em-casa-garante-atendimento-domiciliar-e-mais-qualidade-de-vida-a-pacientes-no-acre/;O Programa Melhor em Casa, do Ministério da Saúde, vem transformando a forma de cuidar de pacientes que apresentam dificuldades temporárias ou ...;24 de ago. de 2025;Agência de Notícias do Acre;neutro;informativo;Programa Melhor em Casa;0.8;Relata o funcionamento do programa, sem expressar opinião ou avaliação.;gemini;gemma-3-4b-it;
35;"""Programa Melhor em Casa"" e bom?";serpapi;Atenção Domiciliar Programa Melhor em Casa;http://ses.saude.am.gov.br/painel/melhor-em-casa/;Programa Melhor em Casa. Contato: 98416-5695. O que é? O Melhor em Casa é um Programa do Governo Federal em parceria com o Governo Estadual que tem como ...;;SES-AM;positivo;apoio;Atenção Domiciliar;0.8;Resumo descreve o programa como benéfico e em parceria governamental.;gemini;gemma-3-4b-it;
36;"""Programa Melhor em Casa"" e bom?";serpapi;Programa Melhor em Casa garante atendimento ...;https://www.primaveradoleste.mt.gov.br/Imprensa/Noticias/Programa-melhor-em-casa-garante-atendimento-humanizado-e-especializado-no-domicilio-em-primavera-do-leste-11017/;O Programa Melhor em Casa atua de forma integrada à rede municipal de saúde, mantendo o vínculo do paciente com a unidade básica de ...;22 de jan. de 2026;Prefeitura de Primavera do Leste;positivo;apoio;saúde pública;0.8;Programa oferece atendimento integrado, fortalecendo a rede de saúde municipal.;gemini;gemma-3-4b-it;
37;"""Programa Melhor em Casa"" e bom?";serpapi;Cuidado especializado em casa! Antes não tinha, agora tem ...;https://www.facebook.com/saudeam/videos/-cuidado-especializado-em-casa-antes-n%C3%A3o-tinha-agora-tem-o-programa-melhor-em-ca/821560174021245/;E aqui muito bom atendimento tá em casa melhor em casa né? O programa melhor em casa oferece atendimento com equipe multiprofissional levando ...;;Facebook · Secretaria de Estado de Saúde do Amazonas;positivo;apoio;saúde domiciliar;0.8;Texto expressa satisfação com o programa e sua disponibilidade, indicando apoio.;gemini;gemma-3-4b-it;
38;"""Programa Melhor em Casa"" e bom?";serpapi;Programa Melhor em Casa – PMeC;https://www.saude.ba.gov.br/atencao-a-saude/dae/programa-melhor-em-casa-pmec/;Programa Melhor em Casa – PMeC · Fluxo para solicitação de habilitação · Legislação de interesse · Mais informações disponíveis pelo Ministério da Saúde sobre o ...;;Sesab;neutro;informativo;Programa Melhor em Casa (PMeC);0.7;Apresenta informações sobre o programa, sem expressar opinião ou avaliação.;gemini;gemma-3-4b-it;
39;"""Programa Melhor em Casa"" e bom?";serpapi;Programa Melhor em Casa conclui com sucesso reabilitação ...;https://aquidaba.se.gov.br/noticias/programa-melhor-em-casa-conclui-com-sucesso-reabilita%C3%A7%C3%A3o-intensiva-de-paciente-em-aquidab%C3%A3;O programa Melhor em Casa é um serviço do Sistema Único de Saúde (SUS) que oferece atendimento domiciliar para pacientes que necessitam de assistência contínua, ...;;Prefeitura de Aquidabã;positivo;apoio;saúde domiciliar;0.8;Relata sucesso do programa, indicando benefício para a população e apoio ao SUS.;gemini;gemma-3-4b-it;
40;"""Programa Melhor em Casa"" e bom?";serpapi;Programa Melhor em Casa leva atendimentos médicos ...;https://novaiguacu.rj.gov.br/2023/08/31/programa-melhor-em-casa-leva-atendimentos-medicos-nas-residencias-dos-pacientes/;Em Nova Iguaçu, o Programa Melhor em Casa tem oito equipes de atenção domiciliar, com médicos, enfermeiros, fisioterapeutas e técnicos de ...;31 de ago. de 2023;Prefeitura de Nova Iguaçu;positivo;apoio;saúde domiciliar;0.8;Relata a implementação de um programa de saúde domiciliar, indicando iniciativa positiva.;gemini;gemma-3-4b-it;
41;"""Programa Melhor em Casa"" e bom?";serpapi;Programa Melhor em Casa: Mais pacientes recebem ...;https://santarem.pa.gov.br/noticias/saude/programa-melhor-em-casa-mais-pacientes-recebem-atendimento-domiciliar-em-santarem-q8yb8o;Com mais de 80 pacientes acompanhados ajuda a reduzir internações e melhora a qualidade de vida dos usuários. O Programa Melhor em Casa ...;20 de out. de 2025;Prefeitura de Santarém;positivo;apoio;saúde domiciliar;0.8;Programa demonstra benefícios na redução de internações e melhora da qualidade de vida.;gemini;gemma-3-4b-it;
42;"""Programa Melhor em Casa"" e bom?";serpapi;Programa Melhor em Casa;https://www.mpba.mp.br/sites/default/files/biblioteca/saude/temas-em-saude/atendimento_medico_domiciliar/melhor_em_casa_manual_monitoramento_avaliacao_programa.pdf;Com o lançamento do Programa Melhor em Casa, em 2011, a qualificação e ampliação da Atenção Domiciliar no Sistema Único de Saúde (SUS) foram colocadas como ...;;Ministério Público do Estado da Bahia. |;positivo;apoio;Atenção Domiciliar;0.8;Lançamento de programa e expansão da Atenção Domiciliar no SUS indicam iniciativa positiva.;gemini;gemma-3-4b-it;
43;"""Programa Melhor em Casa"" e bom?";serpapi;MELHOR EM CASA - Prefeitura Municipal de Valparaíso ...;https://valparaisodegoias.go.gov.br/secretaria/secretaria-de-saude/cais-centro-de-atendimento-integrado-de-saude/melhor-em-casa/;O Programa Melhor em Casa tem como objetivo levar atendimento multidisciplinar em saúde aos pacientes crônicos sem agravamento e a pacientes em situação pós ...;;Prefeitura Municipal de Valparaíso de Goiás;positivo;apoio;saúde pública;0.8;Programa de saúde que leva atendimento a pacientes crônicos, indicando iniciativa positiva.;gemini;gemma-3-4b-it;
44;"""Programa Melhor em Casa"" e bom?";serpapi;Campo Bom soma mais de 12 mil atendimentos domiciliares ...;https://www.campobom.rs.gov.br/?p=13390;Criado para garantir um cuidado mais humano, contínuo e eficiente, o Programa Melhor em Casa (PmeC) é um dos destaques da rede municipal de saúde de Campo Bom.;;CAMPO BOM;positivo;apoio;saude publica;0.8;Destaca programa de saúde domiciliar, indicando iniciativa positiva e eficiente.;gemini;gemma-3-4b-it;
45;"""Programa Melhor em Casa"" e bom?";serpapi;"Secretaria de Saúde de SJM on Instagram: "" O Programa ...";https://www.instagram.com/reel/DNQlyCvOZ4-/?hl=pt-br;O Programa Melhor em Casa leva atendimento médico, de enfermagem e multiprofissional até o lar de pacientes que, por condições de saúde, têm ...;;Instagram · saudesaojoaodemeriti;neutro;informativo;saúde domiciliar;0.8;Relato informativo sobre um programa de saúde, sem expressar opinião ou avaliação.;gemini;gemma-3-4b-it;
46;"""Programa Melhor em Casa"" e bom?";serpapi;Hoje o Programa Melhor em Casa completa 13 anos! 🥳 🏠 São ...;https://www.facebook.com/minsaude/videos/hoje-o-programa-melhor-em-casa-completa-13-anos-s%C3%A3o-anos-dedicados-a-garantir-a-/8720460741340382/;Hoje o Programa Melhor em Casa completa 13 anos! São anos dedicados a garantir a assistência integral e humanizada para milhares de ...;;Facebook · Ministério da Saúde;positivo;apoio;saúde domiciliar;0.8;Celebração de um programa de saúde com 13 anos de atuação positiva.;gemini;gemma-3-4b-it;
47;"""Programa Melhor em Casa"" e bom?";serpapi;Serviços - Programa Melhor em Casa;https://www.mogidascruzes.sp.gov.br/servico/saude/programa-melhor-em-casa;O Programa Melhor em Casa não realiza atendimento de urgência/emergência devendo ser acionado nestes casos o serviço de remoção da Cure (Central de Urgências, ...;;Prefeitura de Mogi das Cruzes -;misto;critica;servicos de saude;0.6;Reconhece melhorias, mas critica a falta de atendimento de urgência no programa.;gemini;gemma-3-4b-it;
48;"""Programa Melhor em Casa"" e bom?";serpapi;Programa Melhor em Casa completa 13 anos com mais de 2 ...;https://www.gov.br/saude/pt-br/assuntos/noticias/2024/novembro/programa-melhor-em-casa-completa-13-anos-com-mais-de-2-mil-equipes-atuando-no-brasil;Programa Melhor em Casa completa 13 anos com mais de 2 mil equipes atuando no Brasil. No ano passado, mais de 5 milhões de atendimentos foram ...;8 de nov. de 2024;www.gov.br;positivo;apoio;saúde pública;0.8;Celebração de 13 anos e grande número de atendimentos indicam sucesso do programa.;gemini;gemma-3-4b-it;
49;"""Programa Melhor em Casa"" e bom?";serpapi;"SES-AM on Instagram: ""Assistência domiciliar O programa ...";https://www.instagram.com/reel/DH0-PasA-FT/;"... likes, 96 comments - saudeam on March 30, 2025: ""Assistência domiciliar O programa Melhor em Casa ... Muito bom saber que a SES-AM mantém o ...";;Instagram · saudeam;positivo;apoio;assistência domiciliar;0.7;Relato positivo sobre o programa de assistência domiciliar da SES-AM.;gemini;gemma-3-4b-it;
50;"""Programa Melhor em Casa"" e bom?";serpapi_news_engine;Programa Melhor em Casa: Prefeitura de Fortaleza atende mais de 1.200 pacientes e realiza mais de 100 mil atendimentos em 2025;https://www.fortaleza.ce.gov.br/noticias/programa-melhor-em-casa-prefeitura-de-fortaleza-atende-mais-de-1-200-pacientes-e-realiza-mais-de-100-mil-atendimentos-em-2025;;12/29/2025, 08:00 AM, +0000 UTC;{'name': 'Prefeitura de Fortaleza', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.fortaleza.ce.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'};positivo;apoio;saúde pública;0.8;Programa bem-sucedido demonstra investimento e atendimento à população.;gemini;gemma-3-4b-it;
