query;fonte_coleta;titulo;url;resumo;data_publicacao;veiculo
"""Programa Melhor em Casa""";serpapi;Atenção Domiciliar - Secretaria Municipal da Saúde;https://prefeitura.sp.gov.br/web/saude/w/atencao_basica/12923;Conheça o Programa Melhor em Casa É um Serviço de Atenção Domiciliar (SAD), criado pelo Governo Federal com o objetivo de ampliar o ...;16 de jan. de 2024;Prefeitura de São Paulo
"""Programa Melhor em Casa""";serpapi;FLUXO PROGRAMA MELHOR EM CASA BVAPS;https://prefeitura.poa.br/sites/default/files/usu_doc/hotsites/sms/bvaps-biblioteca-virtual-de-atencao-primaria-saude/FLUXO%20PROGRAMA%20MELHOR%20EM%20CASA%20BVAPS.pdf;PROGRAMA MELHOR EM CASA. O Programa Melhor em Casa é um programa de atenção domiciliar que tem por objetivos: ○. Promover alta hospitalar dos pacientes ...;;Prefeitura de Porto Alegre
"""Programa Melhor em Casa""";serpapi;Prefeitura Municipal de Marília - SP - Melhor Em Casa;https://www.marilia.sp.gov.br/melhor-em-casa;"PROGRAMA ""MELHOR EM CASA"". O Melhor em Casa é um serviço indicado para pessoas que apresentam dificuldades temporárias ou definitivas de sair do espaço da ...";;Prefeitura Municipal de Marília - SP
"""Programa Melhor em Casa""";serpapi;A IMPORTÂNCIA DO PROGRAMA MELHOR EM CASA NO ...;https://ojs.focopublicacoes.com.br/foco/article/view/1461;A IMPORTÂNCIA DO PROGRAMA MELHOR EM CASA NO ATENDIMENTO AO PACIENTE IDOSO: RELATO DE EXPERIÊNCIA · Letícia Cristina Alves de Sousa · Bruno Rogério ...;;REVISTA FOCO
"""Programa Melhor em Casa""";serpapi;Programa Melhor em Casa presta atendimento ...;https://www.fortaleza.ce.gov.br/noticias/programa-melhor-em-casa-presta-atendimento-humanizado-em-domicilio-na-capital;O Programa Melhor em Casa, do Governo Federal, foi implementado em 2020 pela Prefeitura de Fortaleza e conta com 26 Equipes Multiprofissionais ...;12 de set. de 2022;Prefeitura de Fortaleza
"""Programa Melhor em Casa""";serpapi;Prefeitura de Valinhos - Programa Melhor em Casa;https://www.valinhos.sp.gov.br/portal/secretarias-paginas/42/programa-melhor-em-casa/;Observação: O Programa Melhor em Casa não realiza atendimento de urgência/emergência devendo ser acionado nestes casos o 192 e não é destinado para entrega de ...;;Prefeitura de Valinhos
"""Programa Melhor em Casa""";serpapi;MELHOR EM CASA;https://www.jacarei.sp.gov.br/melhor-em-casa/;O Programa Melhor em Casa contribui para os 17 Objetivos do Desenvolvimento Sustentável (ODS), visto que a Educação e a Comunicação permeiam a construção e ...;;Prefeitura Municipal de Jacareí
"""Programa Melhor em Casa""";serpapi;PROGRAMA MELHOR EM CASA | Saúde;https://saude.lagarto.se.gov.br/unidade-de-atendimento/programa-melhor-em-casa;"PROGRAMA MELHOR EM CASA · Atendimento médico e de enfermagem domiciliar; · Administração de medicações e cuidados com sondas, curativos e oxigenoterapia; ...";;Prefeitura de Lagarto
"""Programa Melhor em Casa""";serpapi;PROTOCOLO DE SERVIÇO DE ATENÇÃO DOMICILIAR ...;https://s3cache.dom.sc.gov.br/atos/2024/05/1717015728_protocolo_mec_bigua_dia_vinte_e_seis_de_fevereiro_2__1.pdf;Programa Melhor em Casa. O atendimento é realizado por equipes multidisciplinares, formadas prioritariamente por médicos, enfermeiros, técnicos em ...;;Diário Oficial dos Municípios de Santa Catarina - DOM
"""Programa Melhor em Casa""";serpapi;Programa Melhor em Casa | Sua Saúde na Rede;https://www.youtube.com/watch?v=1bT9yYsyb5E;Programa Melhor em Casa | Sua Saúde na Rede. 22K views · 7 years ago. #suasaudenarede #melhoremcasa #atendimentodomiciliar ...more ...;;YouTube · Sua Saúde na Rede
"""Programa Melhor em Casa""";serpapi;Programa Melhor em Casa: Mais pacientes recebem ...;https://santarem.pa.gov.br/noticias/saude/programa-melhor-em-casa-mais-pacientes-recebem-atendimento-domiciliar-em-santarem-q8yb8o;Com mais de 80 pacientes acompanhados ajuda a reduzir internações e melhora a qualidade de vida dos usuários. O Programa Melhor em Casa ...;20 de out. de 2025;Prefeitura de Santarém
"""Programa Melhor em Casa""";serpapi;Programa Melhor em Casa garante atendimento ...;https://www.primaveradoleste.mt.gov.br/Imprensa/Noticias/Programa-melhor-em-casa-garante-atendimento-humanizado-e-especializado-no-domicilio-em-primavera-do-leste-11017/;O Programa Melhor em Casa atua de forma integrada à rede municipal de saúde, mantendo o vínculo do paciente com a unidade básica de ...;22 de jan. de 2026;Prefeitura de Primavera do Leste
"""Programa Melhor em Casa""";serpapi;Melhor em Casa inclui equipes de reabilitação e tem novas ...;https://www.gov.br/saude/pt-br/assuntos/noticias/2024/marco/melhor-em-casa-inclui-equipes-de-reabilitacao-e-tem-novas-diretrizes-para-gestores;O ano de 2024 iniciou com atualizações no programa Melhor em Casa: a inclusão de equipes exclusivas para reabilitação domiciliar e novos ...;22 de mar. de 2024;www.gov.br
"""Programa Melhor em Casa""";serpapi;Governo Federal lança os programas Melhor em Casa e ...;https://www.cofen.gov.br/governo-federal-lana-os-programas-melhor-em-casa-e-sos-emergencias/;Em casa – O programa Melhor em Casa vai ampliar o atendimento domiciliar às pessoas com necessidade de reabilitação motora, idosos ...;9 de nov. de 2011;Cofen
"""Programa Melhor em Casa""";serpapi;Melhor em Casa: quando o cuidado e a saúde batem à porta;http://montenegro.rs.gov.br/municipio/noticias/melhor-em-casa-quando-o-cuidado-e-a-saude-batem-a-porta;O Programa Melhor em Casa é uma iniciativa do Governo Federal, implementada em Montenegro por meio da Secretaria Municipal da Saúde. Ele ...;21 de jul. de 2025;Prefeitura de Montenegro
"""Programa Melhor em Casa""";serpapi;Programa Melhor em Casa presta atendimento domiciliar ...;https://paudosferros.rn.gov.br/informa.php?id=988;O Programa Melhor em Casa implantado desde dezembro 2021, no município de Pau dos Ferros, vem seguindo o trabalho com atendimento diário ...;19 de jun. de 2022;Prefeitura de Pau dos Ferros
"""Programa Melhor em Casa""";serpapi;PROGRAMA MELHOR EM CASA ATENDE PACIENTES ...;https://trindade.go.gov.br/programa-melhor-em-casa-atende-pacientes-acamados-em-casa/;O Programa Melhor em Casa, desenvolvido pela Prefeitura de Trindade, por meio da Secretaria Municipal de Saúde, presta atendimento diretamente no lar a ...;;Prefeitura Municipal de Trindade
"""Programa Melhor em Casa""";serpapi;Programa Melhor em Casa: uma...;https://www.portal.contagem.mg.gov.br/portal/noticias/0/3/45574/programa-melhor-em-casa-uma-possibilidade-para-continuidade-do-tratamento-em-casa;Programa Melhor em Casa: uma possibilidade para continuidade do tratamento em casa. ... Inclusive, profissionais de diversas partes do Brasil estão vindo conhecer ...;;Prefeitura Municipal de Contagem
"""Programa Melhor em Casa""";serpapi;Conheça o programa que leva equipes médicas para tratar ...;https://www.bertioga.sp.gov.br/melhor-em-casa-conheca-o-programa-que-leva-equipes-medicas-para-tratar-pacientes-em-suas-residencias;... programa “Melhor em Casa”. A equipe, que conta com médico, enfermeiro, técnicos de enfermagem e assistente social, atende 101 pacientes. O programa cuida de ...;;Prefeitura de Bertioga
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa: Prefeitura de Fortaleza atende mais de 1.200 pacientes e realiza mais de 100 mil atendimentos em 2025;https://www.fortaleza.ce.gov.br/noticias/programa-melhor-em-casa-prefeitura-de-fortaleza-atende-mais-de-1-200-pacientes-e-realiza-mais-de-100-mil-atendimentos-em-2025;;12/29/2025, 08:00 AM, +0000 UTC;{'name': 'Prefeitura de Fortaleza', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.fortaleza.ce.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Cuidadores e pacientes do programa Melhor em Casa de Meriti visitam o Museu do Amanhã;https://tvprefeito.com/cuidadores-e-pacientes-do-programa-melhor-em-casa-de-meriti-visitam-o-museu-do-amanha/;;03/14/2026, 12:20 AM, +0000 UTC;{'name': 'TV Prefeito', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://tvprefeito.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa garante atendimento domiciliar e mais qualidade de vida a pacientes no Acre;https://agencia.ac.gov.br/programa-melhor-em-casa-garante-atendimento-domiciliar-e-mais-qualidade-de-vida-a-pacientes-no-acre/;;08/24/2025, 07:00 AM, +0000 UTC;{'name': 'Agência de Notícias do Acre', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://agencia.ac.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa: Mais pacientes recebem atendimento domiciliar em Santarém | Saúde | Notícias;https://santarem.pa.gov.br/noticias/saude/programa-melhor-em-casa-mais-pacientes-recebem-atendimento-domiciliar-em-santarem-q8yb8o;;10/20/2025, 07:00 AM, +0000 UTC;{'name': 'Prefeitura de Santarém', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://santarem.pa.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Rio Grande do Sul fortalece atenção domiciliar com visitas técnicas e evento estadual de capacitação;https://estado.rs.gov.br/rio-grande-do-sul-fortalece-atencao-domiciliar-com-visitas-tecnicas-e-evento-estadual-de-capacitacao;;12/02/2025, 08:00 AM, +0000 UTC;{'name': 'Portal do Estado do Rio Grande do Sul', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://estado.rs.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa leva atendimento especializado ao domicílio de pacientes do SUS;https://www.bioredbrasil.com.br/programa-melhor-em-casa-leva-atendimento-especializado-ao-domicilio-de-pacientes-do-sus/;;01/30/2026, 01:34 PM, +0000 UTC;{'name': 'Biored Brasil', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bioredbrasil.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa leva qualidade de vida, dignidade e acolhimento a pacientes desospitalizados em São Cristóvão;https://www.saocristovao.se.gov.br/noticia/programa-melhor-em-casa-leva-qualidade-de-vida-dignidade-e-acolhimento-a-pacientes-desospitalizados-em-sao-cristovao;;08/06/2025, 07:00 AM, +0000 UTC;{'name': 'Prefeitura Municipal de São Cristóvão - SE', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.saocristovao.se.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Saúde de Cuiabá amplia atendimentos domiciliares pelo Programa Melhor em Casa;https://www.cuiaba.mt.gov.br/noticias/saude-de-cuiaba-amplia-atendimentos-domiciliares-pelo-programa-melhor-em-casa;;09/25/2025, 07:00 AM, +0000 UTC;{'name': 'Prefeitura de Cuiabá', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cuiaba.mt.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa promove evento “Cuidando do Cuidador”;https://pocosdecaldas.mg.gov.br/noticias/programa-melhor-em-casa-promove-evento-cuidando-do-cuidador/;;12/22/2025, 08:00 AM, +0000 UTC;{'name': 'Prefeitura de Poços de Caldas', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://pocosdecaldas.mg.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Com SUS Gaúcho, o Programa de Incentivo à Atenção Domiciliar é ampliado e atenderá mais de 2,6 mil usuários por mês;https://saude.rs.gov.br/com-sus-gaucho-o-programa-de-incentivo-a-atencao-domiciliar-e-ampliado-e-atendera-mais-de-2-6-mil-usuarios-por-mes;;11/24/2025, 08:00 AM, +0000 UTC;{'name': 'saude.rs.gov.br', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://saude.rs.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa leva saúde e cuidados humanizados a pacientes e famílias lagartenses, com mais de 2 mil atendimentos realizados desde janeiro;https://lagarto.se.gov.br/noticias/programa-melhor-em-casa-leva-sa%C3%BAde-e-cuidados-humanizados-pacientes-e-fam%C3%ADlias-lagartenses;;07/28/2025, 07:00 AM, +0000 UTC;{'name': 'Prefeitura de Lagarto', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://lagarto.se.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Governador Wilson Lima fortalece programa Melhor em Casa e amplia estrutura para atendimento domiciliar em Manaus;https://www.conass.org.br/governador-wilson-lima-fortalece-programa-melhor-em-casa-e-amplia-estrutura-para-atendimento-domiciliar-em-manaus/;;10/23/2025, 07:00 AM, +0000 UTC;{'name': 'Conselho Nacional de Secretários de Saúde | Conass', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.conass.org.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa de Estância Velha é exemplo para Sapiranga;https://estanciavelha.rs.gov.br/noticia/visualizar/id/3759/?programa-melhor-em-casa-de-estancia-velha-e-exemplo-para-sapiranga.html;;10/15/2025, 08:10 PM, +0000 UTC;{'name': 'estanciavelha.rs.gov.br', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://estanciavelha.rs.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa garante atendimento domiciliar em Várzea Paulista;https://portal.varzeapaulista.sp.gov.br/2025/11/24/programa-melhor-em-casa-garante-atendimento-domiciliar-em-varzea-paulista/;;11/24/2025, 08:00 AM, +0000 UTC;{'name': 'Prefeitura de Várzea Paulista', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://portal.varzeapaulista.sp.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Cuidar até o fim: na saúde municipal, capacitação de equipes e criação de grupos de apoio fortalecem o acolhimento no luto;https://prefeitura.sp.gov.br/web/saude/w/cuidar-at%C3%A9-o-fim-na-sa%C3%BAde-municipal-capacita%C3%A7%C3%A3o-de-equipes-e-cria%C3%A7%C3%A3o-de-grupos-de-apoio-fortalecem-o-acolhimento-no-luto;;01/13/2026, 08:00 AM, +0000 UTC;{'name': 'Prefeitura de São Paulo', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://prefeitura.sp.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa leva atendimento domiciliar aos pacientes de Estância;https://www.estancia.se.gov.br/site/Noticias/programa-melhor-em-casa-leva-atendimento-domiciliar-aos-pacientes-de-estncia;;08/27/2025, 07:00 AM, +0000 UTC;{'name': 'Prefeitura de Estância SE', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.estancia.se.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;PAD garante atendimento domiciliar de qualidade e amplia oferta de leitos hospitalares;https://www.ghc.com.br/noticia.aberta.asp?idRegistro=35921;;06/26/2025, 07:00 AM, +0000 UTC;{'name': 'Grupo Hospitalar Conceição', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.ghc.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Saúde Humanizada: Programa Melhor em Casa Garante Reabilitação Domiciliar com Suporte Integral;https://pocosdecaldas.mg.gov.br/noticias/saude-humanizada-programa-melhor-em-casa-garante-reabilitacao-domiciliar-com-suporte-integral/;;06/30/2025, 07:00 AM, +0000 UTC;{'name': 'Prefeitura de Poços de Caldas', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://pocosdecaldas.mg.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa proporciona banho de mar a pacientes com paralisia cerebral;https://www.fortaleza.ce.gov.br/noticias/programa-melhor-em-casa-proporciona-banho-de-mar-a-pacientes-com-paralisia-cerebral;;08/01/2025, 07:00 AM, +0000 UTC;{'name': 'Prefeitura de Fortaleza', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.fortaleza.ce.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Cuidando de quem cuida: ‘Programa Melhor em Casa’ promove sessão de cinema;https://jundiai.sp.gov.br/noticias/2025/08/05/cuidando-de-quem-cuida-programa-melhor-em-casa-promove-sessao-de-cinema/;;08/05/2025, 07:00 AM, +0000 UTC;{'name': 'Prefeitura de Jundiaí', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://jundiai.sp.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa Melhor em Casa realiza primeiro atendimento odontológico domiciliar a pacientes acamados em Caraguatatuba;https://www.caraguatatuba.sp.gov.br/pmc/2025/05/programa-melhor-em-casa-realiza-primeiro-atendimento-odontologico-domiciliar-a-pacientes-acamados-em-caraguatatuba/;;05/16/2025, 07:00 AM, +0000 UTC;{'name': 'Prefeitura de Caraguatatuba', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.caraguatatuba.sp.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Primeiro encontro estadual reforça serviços de atenção domiciliar no RS;https://saude.rs.gov.br/primeiro-encontro-estadual-reforca-servicos-de-atencao-domiciliar-no-rs;;12/03/2025, 08:00 AM, +0000 UTC;{'name': 'saude.rs.gov.br', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://saude.rs.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Atenção Domiciliar assiste pacientes acamados…;https://maceio.al.gov.br/noticias/sms/atencao-domiciliar-assiste-pacientes-acamados-em-maceio;;11/22/2025, 08:00 AM, +0000 UTC;{'name': 'Prefeitura de Maceió', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://maceio.al.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Zona Leste promove 3º Encontro do Programa Melhor em Casa;https://prefeitura.sp.gov.br/web/saude/w/noticias/207290;;06/13/2025, 01:12 AM, +0000 UTC;{'name': 'Prefeitura de São Paulo', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://prefeitura.sp.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa “Melhor em Casa” recebe novos equipamentos;https://estanciavelha.rs.gov.br/noticia/visualizar/idDep/1003/id/3333/?programa-melhor-em-casa-recebe-novos-equipamentos.html;;05/06/2025, 07:00 AM, +0000 UTC;{'name': 'estanciavelha.rs.gov.br', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://estanciavelha.rs.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Programa “Melhor em Casa” é ampliado e pacientes passam a ser acompanhados desde a alta hospitalar;https://www.alagoinhas.ba.gov.br/index.php/programa-melhor-em-casa-e-ampliado-e-pacientes-passam-a-ser-acompanhados-desde-a-alta-hospitalar/;;05/07/2025, 07:00 AM, +0000 UTC;{'name': 'Prefeitura de Alagoinhas', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.alagoinhas.ba.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Equipe da Saúde de Americana apresenta trabalhos em congresso nacional de assistência domiciliar;https://www.americana.sp.gov.br/americana-index.php?a=noticia&id=34698;;11/14/2025, 08:00 AM, +0000 UTC;{'name': 'Prefeitura de Americana', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.americana.sp.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Secretaria da Saúde de Caraguatatuba promove tarde de autocuidados para cuidadores de pacientes do Programa Melhor em Casa;https://www.caraguatatuba.sp.gov.br/pmc/2025/11/secretaria-da-saude-de-caraguatatuba-promove-tarde-de-autocuidados-para-cuidadores-de-pacientes-do-programa-melhor-em-casa/;;11/17/2025, 08:00 AM, +0000 UTC;{'name': 'Prefeitura de Caraguatatuba', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.caraguatatuba.sp.gov.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
"""Programa Melhor em Casa""";serpapi_news_engine;Prefeitura promove capacitação para cuidadores do programa ‘Melhor em Casa’;https://www.gazetadevotorantim.com.br/noticia/58283/votorantim/noticias/prefeitura-promove-capacitacao-para-cuidadores-do-programa-lsquo-melhor-em-casa-rsquo.html;;02/27/2026, 02:16 PM, +0000 UTC;{'name': 'Gazeta de Votorantim', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.gazetadevotorantim.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}
