consulta,titulo,resumo,link,fonte,data,posicao,estado_heuristico,sentimento,estado,gargalo,texto_limpo,termos_relevantes,erro_classificacao
"""Melhor em Casa"" OR ""atencao domiciliar"" falha",MPGO ajuíza ação para obrigar Município de Goiânia a ...,"... Atenção Domiciliar (SAD) e promover sua ... Melhor em Casa”. A medida resultou na interrupção ... Na ação, o promotor de Justiça argumenta que a situação ...",https://www.mpgo.mp.br/portal/noticia/mpgo-ajuiza-acao-para-obrigar-municipio-de-goiania-a-reestruturar-servico-de-atendimento-domiciliar-a-pacientes,Portal MPGO,"['Atenção Domiciliar', 'Melhor em Casa']",3,PA,negativo,PA,escala,ajuiza acao obrigar promover medida resultou interrupcao acao promotor justica argumenta situacao,"situacao, justica, promover",
"""Melhor em Casa"" OR ""atencao domiciliar"" falha",JUSTIÇA | O Ministério Público de Goiás (MPGO) entrou ...,... Melhor em Casa” e na suspensão de repasses federais. Segundo o ... Atenção Domiciliar (SAD) seja reestruturado e recredenciado junto ao ...,https://www.instagram.com/p/DVPTdYdEcq8/,Instagram · portal6noticias,"['Melhor em Casa', 'Atenção Domiciliar']",4,,negativo,NA,escala,justica publico goias entrou suspensao repasses federais seja reestruturado recredenciado,"federais, justica",
"""Melhor em Casa"" OR ""atencao domiciliar"" falha",Vereador Sargento Byron denuncia falhas na cobertura para ...,"De acordo com o Ministério da Saúde, o sistema de home care no Brasil, ou atenção domiciliar ... Melhor em Casa” busca atender pessoas que ...",https://www.aracaju.se.leg.br/institucional/noticias/vereador-sargento-byron-denuncia-falhas-na-cobertura-para-atendimento-domiciliar-por-convenios-de-saude,Câmara Municipal de Aracaju,11 de mar. de 2026,5,PA,negativo,PA,escala,vereador sargento byron denuncia falhas cobertura acordo busca atender pessoas,"acordo, atender, denuncia",
"""Melhor em Casa"" OR ""atencao domiciliar"" falha",Programa Melhor em Casa leva atendimento ...,"Integrado à Secretaria de Atenção Especializada à Saúde (SAES), o Melhor em Casa organiza o Serviço de Atenção Domiciliar (SAD) em articulação com a Atenção ...",http://www.bioredbrasil.com.br/programa-melhor-em-casa-leva-atendimento-especializado-ao-domicilio-de-pacientes-do-sus/,Biored Brasil,"['Melhor em Casa', 'Atenção Domiciliar']",1,,negativo,NA,nenhum,organiza articulacao,organiza,
"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Programa Melhor em Casa,"Com o lançamento do Programa Melhor em Casa, em 2011, a qualificação e ampliação da Atenção Domiciliar no Sistema Único de Saúde (SUS) foram colocadas como ...",https://www.mpba.mp.br/sites/default/files/biblioteca/saude/temas-em-saude/atendimento_medico_domiciliar/melhor_em_casa_manual_monitoramento_avaliacao_programa.pdf,Ministério Público do Estado da Bahia. |,"['Melhor em Casa', 'Atenção Domiciliar']",2,BA,positivo,BA,nenhum,lancamento qualificacao ampliacao colocadas,"qualificacao, lancamento qualificacao, qualificacao ampliacao, lancamento",
"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Satisfação dos cuidadores e dos idosos usuários do ...,Avaliar a satisfação dos cuidadores e dos idosos usuários do serviço de atenção domiciliar por meio do Programa Melhor em Casa e seus fatores associados.,https://rsp.fsp.usp.br/pt-br/article/satisfacao-dos-cuidadores-e-dos-idosos-usuarios-do-programa-melhor-em-casa/,Revista de Saúde Pública,"['Avaliar', 'atenção domiciliar', 'Melhor em Casa']",3,,neutro,NA,pessoal,satisfacao cuidadores idosos avaliar satisfacao cuidadores idosos meio fatores associados,"cuidadores, meio",
"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Atenção Domiciliar Programa Melhor em Casa,O Melhor em Casa é um Programa do Governo Federal em parceria com o Governo Estadual que tem como objetivo oferecer Atenção Domiciliar (AD) através da ...,http://ses.saude.am.gov.br/painel/melhor-em-casa/,SES-AM,"['Melhor em Casa', 'Atenção Domiciliar']",4,AM,neutro,AM,nenhum,parceria oferecer atraves,,
"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Manual de Monitoramento e Avaliação: Programa Melhor em ...,"Com o lançamento do Programa Melhor em Casa, em 2011, a qualificação e ampliação da Atenção Domiciliar no Sistema Único de Saúde (SUS) foram ...",https://biblioteca.cofen.gov.br/programa-melhor-em-casa/,Biblioteca Virtual de Enfermagem - Cofen,13 de mai. de 2020,1,,positivo,NA,nenhum,manual monitoramento avaliacao lancamento qualificacao ampliacao,"qualificacao, lancamento qualificacao, qualificacao ampliacao, manual",
"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",caracterização dos serviços de atenção domiciliar,Avaliação do serviço de atenção domiciliar em. Maranguape-Ceará: um ... Organização da atenção domiciliar com o Programa. Melhor em Casa. Rev Gaúcha ...,https://www.scielo.br/j/ean/a/QwgZ57nPfYZLqSxdfTCg4rM/?format=pdf&lang=pt,SciELO Brasil,"['Avaliação', 'atenção domiciliar', 'atenção domiciliar', 'Melhor em Casa']",2,,neutro,NA,nenhum,caracterizacao avaliacao maranguape ceara organizacao rev gaucha,avaliacao,
"""Melhor em Casa"" OR ""atencao domiciliar"" demora",Programa Melhor em Casa leva atendimento especializado ...,"Integrado à Secretaria de Atenção Especializada à Saúde (SAES), o Melhor em Casa organiza o Serviço de Atenção Domiciliar (SAD) em ...",https://www.gov.br/saude/pt-br/assuntos/noticias/2026/janeiro/programa-melhor-em-casa-leva-atendimento-especializado-ao-domicilio-de-pacientes-do-sus,www.gov.br,21 de jan. de 2026,2,,positivo,NA,nenhum,organiza,organiza,
"""Melhor em Casa"" OR ""atencao domiciliar"" demora","Melhor em Casa,bem saúde - SECRETARIA MUNICIPAL DA ...","... melhor em casa e até agora nada minha está cada vez debilitada e perdendo os movimentos ela usa sonda enteral e de demora,precisamos de uma Fonodialogo e ...",https://www.reclameaqui.com.br/secretaria-municipal-da-saude/melhor-em-casabem-saude_rLrma-g7fasy8p2g/,Reclame Aqui,"['melhor em casa', 'demora']",3,,negativo,NA,frota,bem municipal debilitada perdendo movimentos usa sonda enteral demora precisamos fonodialogo,"bem, sonda, municipal",
"""Melhor em Casa"" OR ""atencao domiciliar"" demora","Com atendimento domiciliar, Melhor em Casa leva ...","Com atendimento domiciliar, Melhor em Casa leva cuidado e atendimento humanizado a pacientes em Jundiaí · Plugin de acessibilidade da Hand Talk.",https://jundiai.sp.gov.br/noticias/2026/03/20/com-atendimento-domiciliar-melhor-em-casa-leva-cuidado-e-atendimento-humanizado-a-pacientes-em-jundiai/,Prefeitura de Jundiaí,['Melhor em Casa'],4,SP,positivo,SP,nenhum,cuidado humanizado plugin acessibilidade hand talk,"humanizado, cuidado",
"""Melhor em Casa"" OR ""atencao domiciliar"" demora",O Serviço de Atenção Domiciliar do Programa Melhor em ...,"O Serviço de Atenção Domiciliar do Programa Melhor em Casa leva saúde, acolhimento e dignidade até o lar de quem mais precisa. Porque o cuidado ...",https://www.instagram.com/reel/DPl3hsWDnr9/,Instagram · smscajazeiras,,5,,positivo,NA,nenhum,acolhimento dignidade lar precisa cuidado,"precisa, cuidado",
"""Melhor em Casa"" OR ""atencao domiciliar"" demora",Programa Melhor em Casa | Sua Saúde na Rede,"Conheça o “Melhor em Casa”, programa que proporciona conforto, qualidade e segurança para quem necessita de atendimento domiciliar.",https://www.youtube.com/watch?v=1bT9yYsyb5E,YouTube · Sua Saúde na Rede,,1,PA,misto,PA,nenhum,rede proporciona conforto qualidade seguranca necessita,"qualidade, proporciona, seguranca",
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de equipe",Caderno de atenção domiciliar - Biblioteca Virtual em Saúde,"... Melhor em Casa, aumenta- se a preocupação com o controle de infecção ... por uma equipe de Atenção Domiciliar. Muitas vezes, pacientes e familiares ...",https://bvsms.saude.gov.br/bvs/publicacoes/caderno_atencao_domiciliar_melhor_casa.pdf,Biblioteca Virtual em Saúde MS,"['Melhor em Casa', 'equipe', 'Atenção Domiciliar']",1,SE,negativo,SE,pessoal,caderno biblioteca virtual aumenta preocupacao controle infeccao equipe muitas vezes familiares,"caderno, equipe",
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de equipe",Programa Melhor em Casa: Prefeitura de Fortaleza atende ...,"... Atenção Domiciliar (EMAD) e nove Equipes Multiprofissionais de ... De janeiro a novembro de 2025, as equipes do Programa Melhor em Casa ...",https://www.fortaleza.ce.gov.br/noticias/programa-melhor-em-casa-prefeitura-de-fortaleza-atende-mais-de-1-200-pacientes-e-realiza-mais-de-100-mil-atendimentos-em-2025,Prefeitura de Fortaleza,29 de dez. de 2025,3,CE,misto,CE,pessoal,fortaleza atende emad nove equipe multiprofissionais janeiro novembro equipe,"equipe, multiprofissionais, janeiro, equipe multiprofissionais",
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de equipe",SOS Emergências e Melhor em Casa,A equipe multidisciplinar de atenção domiciliar deve ser composta ... equipes previstas no Melhor em Casa têm uma boa composição. O ...,https://www.epsjv.fiocruz.br/noticias/reportagem/sos-emergencias-e-melhor-em-casa-1,Escola Politécnica de Saúde Joaquim Venâncio | EPSJV | Fiocruz,23 de nov. de 2011,4,,negativo,NA,pessoal,sos emergencias equipe multidisciplinar deve composta equipe previstas boa composicao,"equipe, deve",
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de equipe",PROTOCOLO DE SERVIÇO DE ATENÇÃO DOMICILIAR ...,"SERVIÇO DE ATENÇÃO DOMICILIAR/PROGRAMA MELHOR EM CASA. De acordo com a ... É obrigatório comunicar a equipe do Programa Melhor em Casa em caso de internação, alta.",https://s3cache.dom.sc.gov.br/atos/2024/05/1717015728_protocolo_mec_bigua_dia_vinte_e_seis_de_fevereiro_2__1.pdf,DOM/SC,"['ATENÇÃO DOMICILIAR', 'MELHOR EM CASA', 'equipe', 'Melhor em Casa']",2,SC,negativo,SC,pessoal,protocolo acordo obrigatorio comunicar equipe caso internacao alta,"acordo, alta, protocolo, equipe",
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de equipe",“Melhor em Casa!?” A resiliência do profissional frente a ...,Multiprofissional de Atenção Domiciliar) e EMAP (Equipe Multiprofissional de ... A motivação para começar a fazer parte de uma equipe Melhor em Casa permeou.,https://sapientia.pucsp.br/bitstream/handle/22702/2/Thais%20de%20Cassia%20Peixoto%20Maldonado.pdf,REPOSITORIO PUCSP,"['Atenção Domiciliar', 'Equipe', 'equipe Melhor em Casa']",1,PA,negativo,PA,pessoal,resiliencia profissional frente multiprofissional emap equipe multiprofissional motivacao comecar parte equipe permeou,"equipe, resiliencia, profissional, frente",
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de ambulancia",Prefeitura de Cuiabá entrega ambulância exclusiva e ...,... ambulância exclusiva para atendimento dos pacientes acompanhados pelo programa Melhor em Casa. ... atenção domiciliar no município ...,https://olharpantaneiro.com.br/noticia/5477/prefeitura-de-cuiaba-entrega-ambulancia-exclusiva-e-reforca-assistencia-a-pacientes-do-melhor-em-casa,OlharPantaneiro,há 4 dias,1,PA,negativo,PA,frota,entrega ambulancia exclusiva ambulancia exclusiva acompanhados,"exclusiva, ambulancia exclusiva, ambulancia, acompanhados",
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de ambulancia",Prefeitura de Cuiabá entrega ambulância exclusiva e ...,Prefeitura de Cuiabá entrega ambulância exclusiva e reforça assistência a pacientes do Melhor em Casa. Veículo deve reduzir entraves ...,https://www.infoverus.com.br/saude/prefeitura-de-cuiaba-entrega-ambulancia-exclusiva-e-reforca-assistencia-a-pacientes-do-melhor-em-casa/24365,Infoverus,há 4 dias,2,,negativo,NA,frota,entrega ambulancia exclusiva entrega ambulancia exclusiva reforca assistencia veiculo deve reduzir entraves,"exclusiva, entrega ambulancia, ambulancia exclusiva, entrega",
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de ambulancia","A Prefeitura de Cuiabá entregou, nesta sexta-feira (20) ...","... ambulância destinada ao atendimento de pacientes acompanhados pelo programa Melhor em Casa, voltado à assistência domiciliar. O veículo será ...",https://www.instagram.com/p/DWKFcU0gcnG/,Instagram · infoverus.oficial,"['ambulância', 'Melhor em Casa']",3,,negativo,NA,frota,entregou sexta feira ambulancia destinada acompanhados voltado assistencia veiculo sera,"acompanhados, veiculo, assistencia veiculo, voltado",
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de ambulancia",PROGRAMA MELHOR EM CASA GARANTE ATENDIMENTO ...,O Programa Melhor em Casa tem levado atendimento de saúde diretamente a pacientes que necessitam de acompanhamento contínuo em Breu Branco. Um ...,https://www.instagram.com/reel/DVckmSEEnIQ/,Instagram · charles_amorimoficial,,5,,positivo,NA,nenhum,garante levado diretamente necessitam acompanhamento continuo breu branco,diretamente,
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de ambulancia",a implementação do programa federal melhor em casa ...,"É partindo desses dois contextos que o Programa Melhor em Casa (marca criada para o serviço de atenção domiciliar) foi estabelecido, em 2011, pelo Ministério da ...",https://revista.enap.gov.br/index.php/RSP/article/download/4124/3935/21746,Revista do Serviço Público,"['Melhor em Casa', 'atenção domiciliar']",1,PA,negativo,PA,nenhum,implementacao partindo desses dois contextos marca criada estabelecido,,
"""Melhor em Casa"" OR ""atencao domiciliar"" cancelamento",Lançamento do Programa de Atenção Domiciliar (Melhor ...,O programa de assistência domiciliar Melhor em Casa irá contar com a implantação de equipes multiprofissionais de atenção domiciliar (EMADs) e ...,https://novoportal.crn1.org.br/lancamento-do-programa-de-atencao-domiciliar-melhor-em-casa/,CRN - 01,15 de dez. de 2011,2,,neutro,NA,pessoal,lancamento assistencia ira contar implantacao equipe multiprofissionais emads,"multiprofissionais, equipe multiprofissionais, lancamento, assistencia",
"""Melhor em Casa"" OR ""atencao domiciliar"" cancelamento",Protocolo de Serviço de Atenção Domiciliar – EMAD/EMAP ...,SERVIÇO DE ATENÇÃO DOMICILIAR/PROGRAMA MELHOR EM CASA ........ 5. 2.1 ... planejamento da entrega do mesmo (ANEXO 23). Dentre os materiais fornecidos ...,https://observasaudecatanduva.sp.gov.br/wp-content/uploads/2021/01/Protocolo-de-Servico-de-Atencao-Domiciliar-%E2%80%93-EMAD-EMAP-do-Municipio-de-Catanduva-PROTEGIDO.pdf,Observatório Saúde Catanduva,"['ATENÇÃO DOMICILIAR', 'MELHOR EM CASA', 'planejamento']",3,SP,neutro,SP,nenhum,protocolo emad emap planejamento entrega anexo dentre materiais fornecidos,"emap, anexo, protocolo, emad",
"""Melhor em Casa"" OR ""atencao domiciliar"" cancelamento","Conheça o “Melhor em Casa”, o Programa de Assistência ...","Disponível no Sistema Único de Saúde (SUS), o programa Melhor em Casa integra os Serviços de Atenção Domiciliar e é caracterizado pelo ...",https://www.ibes.med.br/conheca-o-melhor-em-casa-o-programa-de-assistencia-domiciliar-do-sus/,Grupo IBES,25 de mar. de 2024,4,,neutro,NA,nenhum,assistencia disponivel integra caracterizado,"disponivel, assistencia",
"""Melhor em Casa"" OR ""atencao domiciliar"" cancelamento","SUS oferece programa Melhor em Casa, que pode atender ...",... Atenção Domiciliar (SAD) – Melhor em Casa. A Atenção Domiciliar proporciona ao paciente um cuidado ligado diretamente aos aspectos ...,https://diariopcd.com.br/sus-oferece-programa-melhor-em-casa-que-pode-atender-pessoas-com-deficiencia-e-idosos/,Diário PcD,30 de mai. de 2024,5,,positivo,NA,nenhum,atender proporciona cuidado ligado diretamente aspectos,"atender, proporciona, diretamente, cuidado",
"""Melhor em Casa"" OR ""atencao domiciliar"" cancelamento",Você sabia que o SUS também oferece atendimento ...,"Você sabia que o SUS também oferece atendimento domiciliar gratuito? ✓ Sim! O nome do programa é “Melhor em Casa”, voltado para pacientes que ...",https://www.instagram.com/p/DMY0NLVxrnO/,Instagram · daniellecorreaadvocacia,['Melhor em Casa'],1,PA,positivo,PA,nenhum,voce sabia voce sabia gratuito sim nome voltado,voltado,
"""Melhor em Casa"" OR ""atencao domiciliar"" nao atendido",Manual Instrutivo do Melhor em Casa,Atenção Domiciliar (ANEXO 2). O Detalhamento do Componente Atenção ... Melhor em Casa. Melhor em Casa. A SEGURANÇA DO HOSPITAL NO.,http://189.28.128.100/dab/docs/geral/cartilha_melhor_em_casa.pdf,189.28.128,27 de out. de 2011,3,,negativo,NA,nenhum,manual instrutivo anexo detalhamento componente seguranca hospital,"manual, seguranca, anexo, hospital",
"""Melhor em Casa"" OR ""atencao domiciliar"" nao atendido",Descomplicando o Programa Melhor em Casa (PMeC ...,... melhor-em-casa CADERNOS https ... VAMOS APRENDER UM POUQUINHO SOBRE A ATENÇÃO DOMICILIAR... Prof ...,https://www.youtube.com/watch?v=wer4oNGdgHk,YouTube · DATASUS,,3,,negativo,NA,nenhum,descomplicando pmec cadernos vamos aprender pouquinho prof,pmec,
"""Melhor em Casa"" OR ""atencao domiciliar"" nao atendido",Programa Melhor em Casa - Prefeitura de Angra dos Reis,"O Programa Melhor em Casa é um programa de atenção domiciliar que tem por objetivos: Promover a desospitalização dos pacientes estáveis, que possam ter seu ...",https://cartadeservicos.angra.rj.gov.br/servico.asp?c=540,Prefeitura de Angra dos Reis,"['Melhor em Casa', 'atenção domiciliar']",2,RJ,negativo,RJ,nenhum,angra reis promover desospitalizacao estaveis possam ter,promover,
"""Melhor em Casa"" OR ""atencao domiciliar"" nao atendido","Cuidado especializado em casa! Antes não tinha, agora tem ...",O programa melhor em casa oferece atendimento com equipe ... A Atenção Domiciliar não é favor. É política pública regulamentada. É ...,https://www.instagram.com/reel/DRTMzLTjaRc/,Instagram · saudeam,,1,,positivo,NA,pessoal,cuidado antes equipe favor politica publica regulamentada,"publica, cuidado, equipe",
"""Melhor em Casa"" OR ""atencao domiciliar"" nao atendido",Atenção Domiciliar – Melhor em Casa,"Atenção Domiciliar – Melhor em Casa · Ouvir · Com abordagens diferenciadas, esse tipo de serviço está disponível no Sistema Único de Saúde (SUS).",https://uai.spdmafiliadas.org.br/atencao-domiciliar-melhor-em-casa/,SPDM Afiliadas,"['Atenção Domiciliar', 'Melhor em Casa']",1,,negativo,NA,nenhum,ouvir abordagens diferenciadas tipo disponivel,disponivel,
"""Melhor em Casa"" OR ""atencao domiciliar"" desassistencia",O Programa Melhor em Casa passou por uma importante ...,"O Programa Melhor em Casa passou por uma importante ampliação em 2025 e segue fortalecido em 2026, garantindo atendimentos domiciliares qualificados, inclusive ...",https://www.instagram.com/p/DUnmXURDZA0/,Instagram,['Melhor em Casa'],1,,misto,NA,nenhum,passou importante passou importante ampliacao segue fortalecido garantindo atendimentos domiciliares qualificados inclusive,"atendimentos, ampliacao",
"""Melhor em Casa"" OR ""atencao domiciliar"" desassistencia",DPE-AM obtém liminar para garantir fornecimento de oxigênio ...,DPE-AM obtém liminar para garantir fornecimento de oxigênio a pacientes do programa Melhor em Casa. noticiasdpeam 18 de janeiro de 2021 ...,https://defensoria.am.def.br/2021/01/18/dpe-am-obtem-liminar-para-garantir-fornecimento-de-oxigenio-a-pacientes-do-programa-melhor-em-casa/,Defensoria Pública do Estado do Amazonas,18 de jan. de 2021,2,AM,negativo,AM,frota,dpe obtem liminar garantir fornecimento oxigenio dpe obtem liminar garantir fornecimento oxigenio noticiasdpeam janeiro,janeiro,
