MES;DATA_REFERENCIA;COBERTURA_PCT_NORTE;COBERTURA_PCT_NORDESTE;COBERTURA_PCT_CENTRO-OESTE;COBERTURA_PCT_SUDESTE;COBERTURA_PCT_SUL;COBERTURA_PCT_BRASIL
2016-07;2016-07-31;6.0;6.2988;5.9957;7.1942;2.4349;5.6912
2016-08;2016-08-31;6.0;6.2988;5.9957;7.1942;2.5189;5.7092
2016-09;2016-09-30;6.0;6.2988;5.9957;7.3141;2.5189;5.7451
2016-10;2016-10-31;6.0;6.2988;6.2099;7.3141;2.5189;5.763
2016-11;2016-11-30;6.0;6.2988;6.2099;7.3141;2.5189;5.763
2016-12;2016-12-31;6.0;6.3545;6.424;7.3141;2.5189;5.7989
2017-01;2017-01-31;6.2222;6.5775;6.424;7.494;2.6029;5.9605
2017-02;2017-02-28;6.4444;6.7447;6.6381;7.554;2.6029;6.0682
2017-03;2017-03-31;6.6667;7.1906;6.6381;7.8537;2.6029;6.3196
2017-04;2017-04-30;6.6667;7.2464;6.6381;7.8537;2.6868;6.3555
2017-05;2017-05-31;6.6667;7.4136;6.6381;7.9137;2.7708;6.4452
2017-06;2017-06-30;6.6667;7.4693;6.6381;7.9137;2.7708;6.4632
2017-07;2017-07-31;6.6667;7.5251;6.8522;7.9137;2.7708;6.4991
2017-08;2017-08-31;6.6667;7.5808;6.8522;8.1535;2.7708;6.5889
2017-09;2017-09-30;6.6667;7.5808;6.8522;8.1535;2.7708;6.5889
2017-10;2017-10-31;6.6667;7.5808;6.8522;8.1535;2.7708;6.5889
2017-11;2017-11-30;6.6667;7.6923;6.8522;8.2134;2.7708;6.6427
2017-12;2017-12-31;6.8889;7.8595;6.8522;8.2134;2.7708;6.7145
2018-01;2018-01-31;7.1111;7.971;6.8522;8.2734;2.7708;6.7864
2018-02;2018-02-28;7.1111;8.0825;6.8522;8.3333;2.7708;6.8402
2018-03;2018-03-31;7.1111;8.0825;6.8522;8.3333;2.7708;6.8402
2018-04;2018-04-30;7.1111;8.0825;6.8522;8.3333;2.7708;6.8402
2018-05;2018-05-31;7.1111;8.1382;6.8522;8.3933;2.8547;6.8941
2018-06;2018-06-30;7.1111;8.1382;6.8522;8.4532;2.8547;6.912
2018-07;2018-07-31;7.1111;8.3055;6.8522;8.4532;2.8547;6.9659
2018-08;2018-08-31;7.7778;8.4169;6.8522;8.4532;2.8547;7.0557
2018-09;2018-09-30;8.4444;8.4727;6.8522;8.5132;2.8547;7.1454
2018-10;2018-10-31;8.4444;8.5842;6.8522;8.5132;2.8547;7.1813
2018-11;2018-11-30;8.4444;8.6399;6.8522;8.5132;2.8547;7.1993
2018-12;2018-12-31;8.4444;8.8629;6.8522;8.5731;2.9387;7.307
2019-01;2019-01-31;8.4444;9.1973;6.8522;8.6331;2.9387;7.4327
2019-02;2019-02-28;8.4444;9.476;6.8522;8.693;2.9387;7.5404
2019-03;2019-03-31;8.4444;9.5875;6.8522;8.753;3.0227;7.6122
2019-04;2019-04-30;8.4444;9.6433;6.8522;8.8129;3.1066;7.6661
2019-05;2019-05-31;8.4444;9.6433;7.4946;8.9329;3.1066;7.7558
2019-06;2019-06-30;8.4444;9.699;8.3512;9.0528;3.1066;7.8815
2019-07;2019-07-31;8.4444;9.699;8.5653;9.1127;3.1066;7.9174
2019-08;2019-08-31;8.4444;9.699;8.5653;9.1127;3.1066;7.9174
2019-09;2019-09-30;8.4444;9.8662;8.5653;9.1127;3.1066;7.9713
2019-10;2019-10-31;8.4444;9.8662;8.7794;9.1127;3.1066;7.9892
2019-11;2019-11-30;8.4444;9.8662;8.7794;9.2326;3.1066;8.0251
2019-12;2019-12-31;8.6667;10.2007;8.7794;9.3525;3.1906;8.2047
2020-01;2020-01-31;9.7778;11.5385;8.9936;9.8921;3.4425;8.9587
2020-02;2020-02-29;10.4444;12.4861;9.2077;10.7914;3.5264;9.623
2020-03;2020-03-31;11.1111;13.4894;9.636;11.5108;3.9463;10.3411
2020-04;2020-04-30;11.1111;13.7124;9.636;11.5707;4.0302;10.4488
2020-05;2020-05-31;11.1111;13.7681;9.636;11.6307;4.1142;10.5027
2020-06;2020-06-30;11.1111;13.8239;9.636;11.8106;4.1142;10.5745
2020-07;2020-07-31;11.1111;13.8239;9.636;11.8106;4.1142;10.5745
2020-08;2020-08-31;11.1111;13.8239;9.636;11.9305;4.1982;10.6284
2020-09;2020-09-30;11.1111;13.9353;9.8501;11.9305;4.1982;10.6822
2020-10;2020-10-31;11.1111;14.1026;9.8501;11.9305;4.2821;10.754
2020-11;2020-11-30;11.1111;14.1026;9.8501;11.9305;4.2821;10.754
2020-12;2020-12-31;11.1111;14.1583;9.8501;11.9305;4.45;10.8079
2021-01;2021-01-31;11.1111;14.3813;10.0642;11.9904;4.534;10.9336
2021-02;2021-02-28;11.5556;14.6042;10.7066;12.0504;4.618;11.1311
2021-03;2021-03-31;11.7778;14.66;10.9208;12.47;4.9538;11.3824
2021-04;2021-04-30;11.7778;14.7157;10.9208;12.47;4.9538;11.4004
2021-05;2021-05-31;11.7778;14.8272;10.9208;12.5899;5.0378;11.4901
2021-06;2021-06-30;11.7778;14.9944;11.1349;12.6499;5.2057;11.6158
2021-07;2021-07-31;12.2222;15.1059;11.1349;12.7098;5.2897;11.7235
2021-08;2021-08-31;12.6667;15.4404;11.1349;12.7098;5.3736;11.8851
2021-09;2021-09-30;12.6667;15.7191;11.1349;12.8297;5.5416;12.0467
2021-10;2021-10-31;13.3333;16.2207;11.349;12.8897;5.5416;12.298
2021-11;2021-11-30;13.3333;16.7781;11.7773;12.9496;5.7935;12.5853
2021-12;2021-12-31;13.7778;17.2798;11.7773;12.9496;5.8774;12.8007
2022-01;2022-01-31;14.0;17.7258;12.6338;13.1295;6.0453;13.1239
2022-02;2022-02-28;14.0;18.1159;13.7045;13.3094;6.3812;13.465
2022-03;2022-03-31;14.2222;18.1717;13.9186;13.4293;6.3812;13.5548
2022-04;2022-04-30;14.2222;18.3946;14.1328;13.6691;6.5491;13.7522
2022-05;2022-05-31;14.2222;18.5619;14.3469;13.729;6.5491;13.842
2022-06;2022-06-30;14.4444;18.7291;14.561;13.789;6.4652;13.9318
2022-07;2022-07-31;14.6667;18.9521;14.7752;13.789;6.6331;14.0754
2022-08;2022-08-31;14.6667;19.1193;14.7752;13.9688;6.717;14.2011
2022-09;2022-09-30;14.6667;19.4537;14.9893;14.0288;6.717;14.3447
2022-10;2022-10-31;14.8889;19.621;15.2034;14.3285;6.801;14.5422
2022-11;2022-11-30;15.3333;19.7324;15.4176;14.3285;6.885;14.6499
2022-12;2022-12-31;15.5556;19.8997;15.6317;14.4484;6.885;14.7756
2023-01;2023-01-31;15.5556;20.0669;15.6317;14.5084;7.1369;14.9013
2023-02;2023-02-28;16.0;20.1226;15.6317;14.5683;7.1369;14.9731
2023-03;2023-03-31;16.2222;20.2341;15.8458;14.6283;7.1369;15.0628
2023-04;2023-04-30;16.2222;20.5686;15.8458;14.6882;7.2208;15.2065
2023-05;2023-05-31;16.8889;20.903;16.06;14.8681;7.3048;15.4578
2023-06;2023-06-30;17.7778;21.2932;16.2741;15.2278;7.3887;15.7989
2023-07;2023-07-31;18.2222;21.2932;16.2741;15.2278;7.3887;15.8348
2023-08;2023-08-31;18.2222;21.5162;16.7024;15.1679;7.3887;15.9246
2023-09;2023-09-30;18.4444;21.6276;16.7024;15.2278;7.4727;16.0144
2023-10;2023-10-31;18.4444;21.7391;16.7024;15.2878;7.5567;16.0862
2023-11;2023-11-30;18.6667;21.8506;16.7024;15.3477;7.5567;16.158
2023-12;2023-12-31;18.6667;21.9621;16.7024;15.4077;7.5567;16.2118
2024-01;2024-01-31;18.8889;22.2408;16.7024;15.5276;7.5567;16.3555
2024-02;2024-02-29;18.8889;22.2408;16.7024;15.5276;7.5567;16.3555
2024-03;2024-03-31;19.1111;22.3523;16.7024;15.5875;7.5567;16.4273
2024-04;2024-04-30;19.1111;22.5753;17.1306;15.7074;7.5567;16.5709
2024-05;2024-05-31;19.1111;22.631;17.1306;15.9472;7.5567;16.6607
2024-06;2024-06-30;19.1111;22.9654;17.773;16.1271;7.5567;16.8761
2024-07;2024-07-31;19.1111;23.0212;17.773;16.1271;7.5567;16.8941
2024-08;2024-08-31;19.1111;23.2999;17.9872;16.0671;7.7246;17.0197
2024-09;2024-09-30;19.1111;24.136;18.2013;16.5468;7.8086;17.4686
2024-10;2024-10-31;19.1111;25.0836;18.2013;17.2662;7.9765;18.0251
2024-11;2024-11-30;19.3333;25.7525;18.2013;17.8058;8.1444;18.456
2024-12;2024-12-31;19.3333;26.3657;18.2013;17.9257;8.1444;18.6894
2025-01;2025-01-31;19.5556;26.9788;18.6296;18.1655;8.2284;19.0305
2025-02;2025-02-28;20.0;27.8707;18.6296;18.705;8.2284;19.5153
2025-03;2025-03-31;20.2222;28.3166;19.0578;19.1247;8.2284;19.8384
2025-04;2025-04-30;20.8889;28.7068;19.0578;19.3046;8.3963;20.1077
2025-05;2025-05-31;21.3333;29.8216;19.0578;20.024;8.7322;20.7899
2025-06;2025-06-30;21.5556;30.2118;19.0578;20.3837;8.8161;21.0592
2025-07;2025-07-31;22.0;31.1037;19.0578;21.0432;8.9001;21.5978
2025-08;2025-08-31;22.0;31.4381;19.0578;21.5827;8.984;21.8851
