SEQ_EQUIPE;CO_MUNICIPIO;UF;REGIAO;TIPO;CONFORME;PROBLEMAS
473480;410690;PR;Sul;EMAD I;False;ENFERMEIRO
2198215;150470;PA;Norte;EMAD I;True;
2184028;150085;PA;Norte;EMAP;True;
1675354;270210;AL;Nordeste;EMAD II;True;
1704575;270210;AL;Nordeste;EMAP;True;
2129760;500070;MS;Centro-Oeste;EMAD II;False;FISIO_OU_AS
1543334;260760;PE;Nordeste;EMAD II;False;ENFERMEIRO,FISIO_OU_AS
1543342;260760;PE;Nordeste;EMAP;True;
2491052;220750;PI;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2489317;250940;PB;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2287587;231020;CE;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
1677144;250250;PB;Nordeste;EMAD II;True;
1677152;250250;PB;Nordeste;EMAP;True;
1614878;130260;AM;Norte;EMAD I;True;
1503804;521560;GO;Centro-Oeste;EMAD II;True;
1503790;521560;GO;Centro-Oeste;EMAP;True;
2230518;150760;PA;Norte;EMAD I;False;ENFERMEIRO,TECNICO_ENFERMAGEM
2230623;150760;PA;Norte;EMAP;True;
2241498;412440;PR;Sul;EMAD II;True;
2241501;412440;PR;Sul;EMAP;True;
2240548;291370;BA;Nordeste;EMAD I;False;ENFERMEIRO
2244527;280450;SE;Nordeste;EMAP;True;
2244535;280450;SE;Nordeste;EMAD II;True;
2244101;290580;BA;Nordeste;EMAD II;True;
2244047;290580;BA;Nordeste;EMAP;True;
2152401;500570;MS;Centro-Oeste;EMAD I;False;ENFERMEIRO
2236133;431490;RS;Sul;EMAD I;True;
2166585;522000;GO;Centro-Oeste;EMAD II;True;
1619934;355030;SP;Sudeste;EMAD I;False;ENFERMEIRO
140031;260410;PE;Nordeste;EMAP;True;
1509276;355030;SP;Sudeste;EMAD I;False;ENFERMEIRO
1526243;410940;PR;Sul;EMAD I;False;ENFERMEIRO
1536141;410940;PR;Sul;EMAP;True;
1657089;521880;GO;Centro-Oeste;EMAD I;True;
334839;352310;SP;Sudeste;EMAD I;True;
334847;352310;SP;Sudeste;EMAP;True;
1524364;130260;AM;Norte;EMAP;True;
1524372;130260;AM;Norte;EMAD I;True;
1696505;150553;PA;Norte;EMAP;True;
1571400;353300;SP;Sudeste;EMAD II;True;
1708511;261250;PE;Nordeste;EMAD I;True;
1657097;521880;GO;Centro-Oeste;EMAD I;True;
1657100;521880;GO;Centro-Oeste;EMAP;True;
2178915;351500;SP;Sudeste;EMAD I;True;
2495120;220070;PI;Nordeste;EMAP-R;True;
2508184;250220;PB;Nordeste;EMAP-R;True;
2531666;412550;PR;Sul;EMAD II;False;FISIO_OU_AS
2531674;412550;PR;Sul;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
2536374;220865;PI;Nordeste;EMAP-R;True;
2528533;355160;SP;Sudeste;EMAD II;True;
2534746;314970;MG;Sudeste;EMAD II;True;
2534754;314970;MG;Sudeste;EMAP;True;
2528878;270790;AL;Nordeste;EMAP-R;True;
2524732;292940;BA;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2524678;250050;PB;Nordeste;EMAP-R;True;
2525879;211220;MA;Nordeste;EMAD I;True;
2527499;211220;MA;Nordeste;EMAP;True;
1711113;350850;SP;Sudeste;EMAP;True;
1711105;350850;SP;Sudeste;EMAD I;True;
2494035;330280;RJ;Sudeste;EMAP-R;True;
2451824;310340;MG;Sudeste;EMAP;True;
2505010;211130;MA;Nordeste;EMAP;True;
2510375;240220;RN;Nordeste;EMAP;True;
2520400;280600;SE;Nordeste;EMAP-R;True;
2522470;211220;MA;Nordeste;EMAD I;True;
2500078;250720;PB;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2469413;231126;CE;Nordeste;EMAD II;True;
2418614;130260;AM;Norte;EMAD I;True;
2418622;130260;AM;Norte;EMAD I;True;
469556;530010;DF;Centro-Oeste;EMAD I;False;ENFERMEIRO
2526263;140010;RR;Norte;EMAD I;False;ENFERMEIRO,TECNICO_ENFERMAGEM,FISIO_OU_AS
2526522;260310;PE;Nordeste;EMAD II;True;
2504464;354800;SP;Sudeste;EMAP;True;
2512688;250077;PB;Nordeste;EMAP-R;True;
2522691;430676;RS;Sul;EMAD I;True;
2330806;230930;CE;Nordeste;EMAD II;True;
2330822;230930;CE;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS
2485907;220540;PI;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
1671618;270890;AL;Nordeste;EMAD II;True;
1549855;355030;SP;Sudeste;EMAD I;False;ENFERMEIRO
2462877;510340;MT;Centro-Oeste;EMAP;True;
2523841;150330;PA;Norte;EMAD I;True;
2523868;150330;PA;Norte;EMAP;True;
2507889;330025;RJ;Sudeste;EMAD II;True;
224642;310620;MG;Sudeste;EMAD I;True;
2487705;221050;PI;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2513218;210360;MA;Nordeste;EMAD I;True;
2538938;230533;CE;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
1715992;150010;PA;Norte;EMAD I;False;ENFERMEIRO
1716018;150010;PA;Norte;EMAP;True;
2316358;150010;PA;Norte;EMAD I;True;
2457512;290680;BA;Nordeste;EMAD II;True;
2246600;312430;MG;Sudeste;EMAD II;True;
2499959;220465;PI;Nordeste;EMAP-R;True;
2492121;250410;PB;Nordeste;EMAP-R;True;
2445964;130260;AM;Norte;EMAD I;True;
2487969;220775;PI;Nordeste;EMAP-R;True;
2488418;292290;BA;Nordeste;EMAD II;True;
2488426;292290;BA;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
2513269;150160;PA;Norte;EMAP-R;True;
1487582;520025;GO;Centro-Oeste;EMAP;True;
1487590;520025;GO;Centro-Oeste;EMAD I;False;FISIO_OU_AS
2529386;314490;MG;Sudeste;EMAP-R;True;
2500019;251275;PB;Nordeste;EMAP-R;True;
2536188;270060;AL;Nordeste;EMAP-R;True;
2519356;292990;BA;Nordeste;EMAD I;False;MEDICO
2519364;292990;BA;Nordeste;EMAP;True;
2510340;250270;PB;Nordeste;EMAP-R;True;
2533618;292560;BA;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
2528525;421630;SC;Sul;EMAD II;True;
2520656;230500;CE;Nordeste;EMAD I;True;
2534924;230500;CE;Nordeste;EMAP;True;
2510995;250890;PB;Nordeste;EMAP;True;
2504480;412780;PR;Sul;EMAP-R;True;
2518023;311430;MG;Sudeste;EMAD II;True;
2520958;290260;BA;Nordeste;EMAP-R;True;
2535610;292895;BA;Nordeste;EMAP-R;True;
2537400;314467;MG;Sudeste;EMAP-R;True;
2536471;421915;SC;Sul;EMAD II;True;
2539527;353870;SP;Sudeste;EMAP;True;
1626701;280480;SE;Nordeste;EMAD I;True;
1627244;280480;SE;Nordeste;EMAP;True;
1675974;280480;SE;Nordeste;EMAD I;True;
2491281;292760;BA;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2130955;160030;AP;Norte;EMAD I;True;
2435845;292740;BA;Nordeste;EMAD I;True;
2537737;354710;SP;Sudeste;EMAP-R;True;
2519704;140010;RR;Norte;EMAD I;False;TECNICO_ENFERMAGEM
2528509;316770;MG;Sudeste;EMAP-R;True;
2539500;250900;PB;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
2526166;312490;MG;Sudeste;EMAP-R;True;
2524805;250690;PB;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS
2524147;250820;PB;Nordeste;EMAP-R;True;
2524716;270560;AL;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2541165;315920;MG;Sudeste;EMAP-R;True;
2532409;261170;PE;Nordeste;EMAD II;False;MEDICO
2534444;280560;SE;Nordeste;EMAD II;True;
2534460;280560;SE;Nordeste;EMAP;True;
2534916;350080;SP;Sudeste;EMAP-R;True;
2487160;310360;MG;Sudeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2509970;211107;MA;Nordeste;EMAP-R;True;
2541025;316900;MG;Sudeste;EMAP-R;True;
2445638;521010;GO;Centro-Oeste;EMAP;True;
2449951;292740;BA;Nordeste;EMAD I;True;
2454289;293190;BA;Nordeste;EMAD I;True;
1595954;355030;SP;Sudeste;EMAD I;False;ENFERMEIRO
1524054;355220;SP;Sudeste;EMAD I;True;
1477412;110020;RO;Norte;EMAD I;True;
2477718;291070;BA;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
2477696;291070;BA;Nordeste;EMAD I;False;MEDICO,ENFERMEIRO
2497867;431440;RS;Sul;EMAD I;True;
2497875;431440;RS;Sul;EMAP;True;
2516373;521640;GO;Centro-Oeste;EMAP-R;True;
2535394;220525;PI;Nordeste;EMAP-R;True;
2536056;110045;RO;Norte;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
230049;310620;MG;Sudeste;EMAD I;True;
2140330;280030;SE;Nordeste;EMAD I;True;
2510782;230660;CE;Nordeste;EMAD II;True;
1646478;330270;RJ;Sudeste;EMAD I;False;ENFERMEIRO
1709291;330270;RJ;Sudeste;EMAD I;True;
2532697;292420;BA;Nordeste;EMAP-R;True;
2433745;250150;PB;Nordeste;EMAD II;True;
2433753;250150;PB;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
323667;350950;SP;Sudeste;EMAD I;True;
2485176;220557;PI;Nordeste;EMAP-R;True;
1618857;291160;BA;Nordeste;EMAD II;True;
2493322;312300;MG;Sudeste;EMAP-R;True;
2485060;211090;MA;Nordeste;EMAP-R;True;
2496496;230860;CE;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2491761;210160;MA;Nordeste;EMAD I;True;
2528169;220025;PI;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2520990;290030;BA;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2500752;220335;PI;Nordeste;EMAP-R;True;
2521830;150130;PA;Norte;EMAD I;True;
2540770;220558;PI;Nordeste;EMAP-R;True;
2531127;240110;RN;Nordeste;EMAD II;True;
2244357;316710;MG;Sudeste;EMAD II;True;
2338483;260590;PE;Nordeste;EMAP;True;
2338548;260590;PE;Nordeste;EMAD II;False;TECNICO_ENFERMAGEM
2541211;353480;SP;Sudeste;EMAP-R;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
2505517;220730;PI;Nordeste;EMAP-R;True;
2508672;250840;PB;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2438984;291120;BA;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS
2510480;330060;RJ;Sudeste;EMAD II;True;
2492679;315950;MG;Sudeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2500337;220375;PI;Nordeste;EMAP-R;True;
2524309;412240;PR;Sul;EMAD I;False;ENFERMEIRO
2525348;250730;PB;Nordeste;EMAP-R;True;
2332442;330610;RJ;Sudeste;EMAD I;False;ENFERMEIRO
2534894;313507;MG;Sudeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
1619241;230960;CE;Nordeste;EMAD I;False;TECNICO_ENFERMAGEM
1619268;230960;CE;Nordeste;EMAP;True;
2487381;432380;RS;Sul;EMAP-R;False;POUCAS_CATEGORIAS_NS
2526921;290265;BA;Nordeste;EMAP-R;True;
2327384;290960;BA;Nordeste;EMAD II;True;
2327392;290960;BA;Nordeste;EMAP;True;
2377756;230470;CE;Nordeste;EMAD I;False;ENFERMEIRO
2501449;150780;PA;Norte;EMAD II;True;
2501457;150780;PA;Norte;EMAP;True;
2510561;250660;PB;Nordeste;EMAP-R;True;
2513242;251394;PB;Nordeste;EMAP-R;True;
2515539;312520;MG;Sudeste;EMAP-R;True;
2476991;231340;CE;Nordeste;EMAD I;False;ENFERMEIRO,TECNICO_ENFERMAGEM,FISIO_OU_AS
2510170;312890;MG;Sudeste;EMAP-R;True;
1597078;355030;SP;Sudeste;EMAD I;False;ENFERMEIRO
1597094;355030;SP;Sudeste;EMAD I;False;ENFERMEIRO
428973;431440;RS;Sul;EMAD I;True;
1524992;231410;CE;Nordeste;EMAD I;True;
1525026;231410;CE;Nordeste;EMAP;True;
2516497;250590;PB;Nordeste;EMAP-R;True;
2513714;520110;GO;Centro-Oeste;EMAD I;True;
2516764;314520;MG;Sudeste;EMAD I;True;
2333864;355030;SP;Sudeste;EMAD I;True;
2503689;230740;CE;Nordeste;EMAD II;False;MEDICO
2514516;291400;BA;Nordeste;EMAD I;True;
2514524;291400;BA;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
2517779;410965;PR;Sul;EMAP-R;True;
2489864;312680;MG;Sudeste;EMAP-R;True;
2489791;311440;MG;Sudeste;EMAD II;True;
2207370;150195;PA;Norte;EMAP;True;
2522535;310180;MG;Sudeste;EMAP-R;True;
1530372;220120;PI;Nordeste;EMAD I;True;
1539930;220120;PI;Nordeste;EMAP;True;
2402955;315400;MG;Sudeste;EMAD II;True;
2402963;315400;MG;Sudeste;EMAP;True;
2516438;310285;MG;Sudeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
1515780;510840;MT;Centro-Oeste;EMAD I;True;
1515837;510840;MT;Centro-Oeste;EMAP;True;
2521733;520640;GO;Centro-Oeste;EMAD II;True;
2530767;330455;RJ;Sudeste;EMAD I;False;MEDICO,TECNICO_ENFERMAGEM
2518325;130270;AM;Norte;EMAD I;False;FISIO_OU_AS
2426080;150172;PA;Norte;EMAD II;True;
2426102;150172;PA;Norte;EMAP;True;
2505037;211130;MA;Nordeste;EMAP;True;
2508001;251640;PB;Nordeste;EMAP-R;True;
152803;261160;PE;Nordeste;EMAP;True;
2533375;351580;SP;Sudeste;EMAP-R;True;
2522322;251570;PB;Nordeste;EMAP-R;True;
2524872;312730;MG;Sudeste;EMAP-R;True;
2526050;250855;PB;Nordeste;EMAP-R;True;
2523949;355580;SP;Sudeste;EMAP-R;True;
2511878;313700;MG;Sudeste;EMAP-R;True;
2500264;211130;MA;Nordeste;EMAD I;True;
471461;530010;DF;Centro-Oeste;EMAD I;True;
2500256;211130;MA;Nordeste;EMAD I;True;
2487861;430930;RS;Sul;EMAD I;True;
2489090;231126;CE;Nordeste;EMAP;True;
2524287;251593;PB;Nordeste;EMAP-R;True;
2530953;314520;MG;Sudeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
1475894;355030;SP;Sudeste;EMAD I;False;ENFERMEIRO
2522810;313960;MG;Sudeste;EMAD II;True;
2522829;313960;MG;Sudeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
2440792;330580;RJ;Sudeste;EMAP;True;
1700693;230440;CE;Nordeste;EMAD I;False;ENFERMEIRO
2526654;315000;MG;Sudeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2536617;351350;SP;Sudeste;EMAD I;True;
1591207;355030;SP;Sudeste;EMAD I;True;
2451174;290800;BA;Nordeste;EMAD II;True;
2525593;130390;AM;Norte;EMAD II;True;
2524945;311570;MG;Sudeste;EMAP-R;True;
2540444;250530;PB;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2524333;420730;SC;Sul;EMAD I;True;
2524368;420730;SC;Sul;EMAP;True;
2216299;510340;MT;Centro-Oeste;EMAP;True;
2524988;290035;BA;Nordeste;EMAP-R;True;
2518562;210360;MA;Nordeste;EMAP;True;
2395975;411990;PR;Sul;EMAP;True;
2538385;353550;SP;Sudeste;EMAD I;True;
2253402;355650;SP;Sudeste;EMAD I;False;MEDICO
2533081;330023;RJ;Sudeste;EMAD I;False;ENFERMEIRO
2525461;250980;PB;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2533073;316950;MG;Sudeste;EMAP-R;True;
1525727;431405;RS;Sul;EMAD I;True;
2525488;250580;PB;Nordeste;EMAP-R;True;
2527669;230780;CE;Nordeste;EMAD II;True;
2527677;230780;CE;Nordeste;EMAP;True;
2531801;251335;PB;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2533901;354830;SP;Sudeste;EMAP-R;True;
2528193;220880;PI;Nordeste;EMAP-R;True;
2511967;251550;PB;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
2528711;270430;AL;Nordeste;EMAD I;False;TECNICO_ENFERMAGEM
2529076;150510;PA;Norte;EMAD I;False;MEDICO
2540673;412690;PR;Sul;EMAP-R;True;
2250217;352620;SP;Sudeste;EMAD II;True;
2530449;240050;RN;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2536145;290220;BA;Nordeste;EMAP-R;True;
2526778;317150;MG;Sudeste;EMAP-R;True;
2540061;210720;MA;Nordeste;EMAP-R;True;
2225425;292230;BA;Nordeste;EMAD II;True;
2525585;251470;PB;Nordeste;EMAP-R;True;
2531755;352060;SP;Sudeste;EMAP-R;True;
2536994;353520;SP;Sudeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
2525828;352910;SP;Sudeste;EMAP-R;True;
2533545;110045;RO;Norte;EMAD II;True;
2536986;350250;SP;Sudeste;EMAD II;False;TECNICO_ENFERMAGEM
1709755;330270;RJ;Sudeste;EMAP;True;
2534762;280330;SE;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
2520370;312220;MG;Sudeste;EMAP-R;True;
2510715;251350;PB;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
1566334;270400;AL;Nordeste;EMAD II;True;
1566326;270400;AL;Nordeste;EMAP;True;
1584413;530010;DF;Centro-Oeste;EMAD I;True;
1526138;211150;MA;Nordeste;EMAP;True;
1526111;211150;MA;Nordeste;EMAD I;True;
184748;290570;BA;Nordeste;EMAD I;True;
1707388;290650;BA;Nordeste;EMAP;True;
1707361;290650;BA;Nordeste;EMAD I;True;
1567888;510267;MT;Centro-Oeste;EMAD II;True;
383171;410690;PR;Sul;EMAD I;False;ENFERMEIRO
383317;410690;PR;Sul;EMAD I;False;ENFERMEIRO
1637738;110012;RO;Norte;EMAD I;False;ENFERMEIRO,TECNICO_ENFERMAGEM
2292386;521308;GO;Centro-Oeste;EMAD II;True;
2244217;251690;PB;Nordeste;EMAD II;False;FISIO_OU_AS
2167956;313270;MG;Sudeste;EMAD II;True;
2513781;150350;PA;Norte;EMAD II;True;
2513803;150350;PA;Norte;EMAP;True;
1555537;211130;MA;Nordeste;EMAD I;True;
2228580;431950;RS;Sul;EMAD II;True;
1585878;211130;MA;Nordeste;EMAD I;True;
1577298;211130;MA;Nordeste;EMAP;True;
1689606;500270;MS;Centro-Oeste;EMAD I;True;
1485199;270030;AL;Nordeste;EMAD I;True;
2251604;292520;BA;Nordeste;EMAP;True;
275565;317010;MG;Sudeste;EMAD I;True;
1511769;355220;SP;Sudeste;EMAD I;False;ENFERMEIRO
1638785;230640;CE;Nordeste;EMAD I;True;
1652214;230640;CE;Nordeste;EMAP;True;
1484761;316370;MG;Sudeste;EMAD I;True;
1484788;316370;MG;Sudeste;EMAP;True;
1517694;220570;PI;Nordeste;EMAD II;True;
1517821;220570;PI;Nordeste;EMAP;True;
1498339;221000;PI;Nordeste;EMAP;True;
1601466;230210;CE;Nordeste;EMAD II;True;
2491737;315820;MG;Sudeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
1552139;317020;MG;Sudeste;EMAP;True;
276375;317020;MG;Sudeste;EMAP;True;
1483870;354780;SP;Sudeste;EMAD I;True;
1480170;330600;RJ;Sudeste;EMAP;True;
1480189;330600;RJ;Sudeste;EMAD I;True;
2493659;250450;PB;Nordeste;EMAP-R;False;POUCAS_CATEGORIAS_NS
1656643;310620;MG;Sudeste;EMAD I;True;
1620193;230110;CE;Nordeste;EMAD I;False;ENFERMEIRO
1620290;230110;CE;Nordeste;EMAP;True;
50687;210530;MA;Nordeste;EMAD I;True;
1619829;330390;RJ;Sudeste;EMAD I;True;
1619845;330390;RJ;Sudeste;EMAP;True;
2248735;260030;PE;Nordeste;EMAD II;False;FISIO_OU_AS
1510347;420230;SC;Sul;EMAD I;True;
1651188;500660;MS;Centro-Oeste;EMAD I;True;
1682571;521930;GO;Centro-Oeste;EMAD II;True;
1682598;521930;GO;Centro-Oeste;EMAP;True;
470899;530010;DF;Centro-Oeste;EMAD I;True;
1696742;250480;PB;Nordeste;EMAP;True;
1696734;250480;PB;Nordeste;EMAD II;True;
2207354;280300;SE;Nordeste;EMAP;True;
2220059;310900;MG;Sudeste;EMAP;True;
1682148;330370;RJ;Sudeste;EMAD I;True;
1565257;293250;BA;Nordeste;EMAD II;True;
1709453;317010;MG;Sudeste;EMAD I;True;
1701533;431850;RS;Sul;EMAD II;True;
1698672;290750;BA;Nordeste;EMAD I;True;
1698680;290750;BA;Nordeste;EMAP;True;
1709224;315220;MG;Sudeste;EMAD II;True;
1579843;316553;MG;Sudeste;EMAP;True;
1486039;352400;SP;Sudeste;EMAD I;True;
2263041;293130;BA;Nordeste;EMAD II;True;
1646788;150230;PA;Norte;EMAD I;False;ENFERMEIRO
1646842;150230;PA;Norte;EMAP;True;
1589849;311860;MG;Sudeste;EMAD I;True;
1676245;311860;MG;Sudeste;EMAD I;True;
1676261;311860;MG;Sudeste;EMAP;True;
240133;311860;MG;Sudeste;EMAD I;True;
240125;311860;MG;Sudeste;EMAD I;True;
2113147;432300;RS;Sul;EMAD I;True;
1709852;315220;MG;Sudeste;EMAP;False;POUCAS_CATEGORIAS_NS
1706772;290850;BA;Nordeste;EMAD II;True;
1706780;290850;BA;Nordeste;EMAP;True;
1710117;330620;RJ;Sudeste;EMAD II;True;
5649;120040;AC;Norte;EMAD I;True;
1710125;330620;RJ;Sudeste;EMAP;True;
1465465;240810;RN;Nordeste;EMAD I;False;ENFERMEIRO
113751;240810;RN;Nordeste;EMAD I;True;
113778;240810;RN;Nordeste;EMAP;True;
1682776;520545;GO;Centro-Oeste;EMAD II;True;
1682784;520545;GO;Centro-Oeste;EMAP;True;
1527789;311860;MG;Sudeste;EMAD I;True;
1676253;311860;MG;Sudeste;EMAP;True;
2275899;354730;SP;Sudeste;EMAD I;True;
2294850;261000;PE;Nordeste;EMAD I;True;
2294869;261000;PE;Nordeste;EMAD II;True;
2294877;261000;PE;Nordeste;EMAP;True;
1540505;150808;PA;Norte;EMAD II;True;
1695983;290410;BA;Nordeste;EMAD II;False;TECNICO_ENFERMAGEM
1540513;150808;PA;Norte;EMAP;True;
1696009;290410;BA;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
2282151;230230;CE;Nordeste;EMAD II;True;
