consulta,titulo,resumo,link,fonte,data,posicao,estado_heuristico
"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Jurisprudência sobre Programa Melhor em Casa,"O Município de Cuiabá encontra-se habilitado no Programa “Melhor em Casa”, recebendo recursos federais destinados à prestação de atenção domiciliar ...",https://www.jusbrasil.com.br/jurisprudencia/busca?q=programa+melhor+em+casa,Jusbrasil,"['Melhor em Casa', 'atenção domiciliar']",2,SE
"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Atraso na alta de uma idosa - 95 anos.,"Ela já está apta para alta, mas precisa continuar na sonda para alimentação e está esperando o programa Melhor em Casa fazer a visita no hospital e na nossa ...",https://www.reclameaqui.com.br/home-care-melhor-em-casa/atraso-na-alta-de-uma-idosa-95-anos_clF5LQd2cGdhLWEF/,Reclame Aqui,['Melhor em Casa'],3,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Wilker Barreto denuncia atrasos salariais e demissões de ...,Wilker Barreto denuncia atrasos salariais e demissões de profissionais terceirizados da saúde no programa 'Melhor em Casa'. Por Beatriz Souza.,https://www.aleam.gov.br/wilker-barreto-denuncia-atrasos-salariais-e-demissoes-de-profissionais-terceirizados-da-saude-no-programa-melhor-em-casa/,ALEAM | Assembleia Legislativa do Estado do Amazonas,26 de mar. de 2025,4,AM
"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Pior em Casa | Desativação do Programa Melhor em Casa ...,... Melhor em Casa pela Prefeitura de Cabo Frio ... atraso na moeda social Itajuru. Pescadores da Gamboa relatam que ...,https://www.instagram.com/reel/DOcS_goDLB1/,Instagram · faladirleioficial,,5,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Protocolo de Regulação fisioterapia programa melhor em ...,O presente documento refere-se ao Protocolo de Regulação dos atendimentos fisioterapêuticos do Programa Melhor em Casa do Município de Biguaçu/ SC.,https://s3cache.dom.sc.gov.br/atos/2024/05/1717015306_pop_fisio_mec_regulacao_organizado_1.pdf,DOM/SC,['Melhor em Casa'],1,SE
"""Melhor em Casa"" OR ""atencao domiciliar"" falha",NOTA PÚBLICA: A Verdade sobre o Serviço de Atenção ...,"... falha no atendimento do Serviço de Atenção Domiciliar (SAD). A situação decorre, na verdade, da omissão da Prefeitura, que não disponibiliza ...",https://sinsep.org.br/2026/03/18/nota-publica-a-verdade-sobre-o-servico-de-atencao-domiciliar-sad/,sinsep.org.br,há 8 dias,1,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" falha",MPGO ajuíza ação para obrigar Município de Goiânia a ...,"... Atenção Domiciliar (SAD) e promover sua ... Melhor em Casa”. A medida resultou na interrupção ... Na ação, o promotor de Justiça argumenta que a situação ...",https://www.mpgo.mp.br/portal/noticia/mpgo-ajuiza-acao-para-obrigar-municipio-de-goiania-a-reestruturar-servico-de-atendimento-domiciliar-a-pacientes,Portal MPGO,"['Atenção Domiciliar', 'Melhor em Casa']",3,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" falha",JUSTIÇA | O Ministério Público de Goiás (MPGO) entrou ...,... Melhor em Casa” e na suspensão de repasses federais. Segundo o ... Atenção Domiciliar (SAD) seja reestruturado e recredenciado junto ao ...,https://www.instagram.com/p/DVPTdYdEcq8/,Instagram · portal6noticias,"['Melhor em Casa', 'Atenção Domiciliar']",4,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" falha",Vereador Sargento Byron denuncia falhas na cobertura para ...,"De acordo com o Ministério da Saúde, o sistema de home care no Brasil, ou atenção domiciliar ... Melhor em Casa” busca atender pessoas que ...",https://www.aracaju.se.leg.br/institucional/noticias/vereador-sargento-byron-denuncia-falhas-na-cobertura-para-atendimento-domiciliar-por-convenios-de-saude,Câmara Municipal de Aracaju,11 de mar. de 2026,5,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" falha",Programa Melhor em Casa leva atendimento ...,"Integrado à Secretaria de Atenção Especializada à Saúde (SAES), o Melhor em Casa organiza o Serviço de Atenção Domiciliar (SAD) em articulação com a Atenção ...",http://www.bioredbrasil.com.br/programa-melhor-em-casa-leva-atendimento-especializado-ao-domicilio-de-pacientes-do-sus/,Biored Brasil,"['Melhor em Casa', 'Atenção Domiciliar']",1,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Programa Melhor em Casa,"Com o lançamento do Programa Melhor em Casa, em 2011, a qualificação e ampliação da Atenção Domiciliar no Sistema Único de Saúde (SUS) foram colocadas como ...",https://www.mpba.mp.br/sites/default/files/biblioteca/saude/temas-em-saude/atendimento_medico_domiciliar/melhor_em_casa_manual_monitoramento_avaliacao_programa.pdf,Ministério Público do Estado da Bahia. |,"['Melhor em Casa', 'Atenção Domiciliar']",2,BA
"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Satisfação dos cuidadores e dos idosos usuários do ...,Avaliar a satisfação dos cuidadores e dos idosos usuários do serviço de atenção domiciliar por meio do Programa Melhor em Casa e seus fatores associados.,https://rsp.fsp.usp.br/pt-br/article/satisfacao-dos-cuidadores-e-dos-idosos-usuarios-do-programa-melhor-em-casa/,Revista de Saúde Pública,"['Avaliar', 'atenção domiciliar', 'Melhor em Casa']",3,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Atenção Domiciliar Programa Melhor em Casa,O Melhor em Casa é um Programa do Governo Federal em parceria com o Governo Estadual que tem como objetivo oferecer Atenção Domiciliar (AD) através da ...,http://ses.saude.am.gov.br/painel/melhor-em-casa/,SES-AM,"['Melhor em Casa', 'Atenção Domiciliar']",4,AM
"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",Manual de Monitoramento e Avaliação: Programa Melhor em ...,"Com o lançamento do Programa Melhor em Casa, em 2011, a qualificação e ampliação da Atenção Domiciliar no Sistema Único de Saúde (SUS) foram ...",https://biblioteca.cofen.gov.br/programa-melhor-em-casa/,Biblioteca Virtual de Enfermagem - Cofen,13 de mai. de 2020,1,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" avaliacao",caracterização dos serviços de atenção domiciliar,Avaliação do serviço de atenção domiciliar em. Maranguape-Ceará: um ... Organização da atenção domiciliar com o Programa. Melhor em Casa. Rev Gaúcha ...,https://www.scielo.br/j/ean/a/QwgZ57nPfYZLqSxdfTCg4rM/?format=pdf&lang=pt,SciELO Brasil,"['Avaliação', 'atenção domiciliar', 'atenção domiciliar', 'Melhor em Casa']",2,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" demora",Programa Melhor em Casa leva atendimento especializado ...,"Integrado à Secretaria de Atenção Especializada à Saúde (SAES), o Melhor em Casa organiza o Serviço de Atenção Domiciliar (SAD) em ...",https://www.gov.br/saude/pt-br/assuntos/noticias/2026/janeiro/programa-melhor-em-casa-leva-atendimento-especializado-ao-domicilio-de-pacientes-do-sus,www.gov.br,21 de jan. de 2026,2,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" demora","Melhor em Casa,bem saúde - SECRETARIA MUNICIPAL DA ...","... melhor em casa e até agora nada minha está cada vez debilitada e perdendo os movimentos ela usa sonda enteral e de demora,precisamos de uma Fonodialogo e ...",https://www.reclameaqui.com.br/secretaria-municipal-da-saude/melhor-em-casabem-saude_rLrma-g7fasy8p2g/,Reclame Aqui,"['melhor em casa', 'demora']",3,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" demora","Com atendimento domiciliar, Melhor em Casa leva ...","Com atendimento domiciliar, Melhor em Casa leva cuidado e atendimento humanizado a pacientes em Jundiaí · Plugin de acessibilidade da Hand Talk.",https://jundiai.sp.gov.br/noticias/2026/03/20/com-atendimento-domiciliar-melhor-em-casa-leva-cuidado-e-atendimento-humanizado-a-pacientes-em-jundiai/,Prefeitura de Jundiaí,['Melhor em Casa'],4,SP
"""Melhor em Casa"" OR ""atencao domiciliar"" demora",O Serviço de Atenção Domiciliar do Programa Melhor em ...,"O Serviço de Atenção Domiciliar do Programa Melhor em Casa leva saúde, acolhimento e dignidade até o lar de quem mais precisa. Porque o cuidado ...",https://www.instagram.com/reel/DPl3hsWDnr9/,Instagram · smscajazeiras,,5,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" demora",Programa Melhor em Casa | Sua Saúde na Rede,"Conheça o “Melhor em Casa”, programa que proporciona conforto, qualidade e segurança para quem necessita de atendimento domiciliar.",https://www.youtube.com/watch?v=1bT9yYsyb5E,YouTube · Sua Saúde na Rede,,1,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de equipe",Caderno de atenção domiciliar - Biblioteca Virtual em Saúde,"... Melhor em Casa, aumenta- se a preocupação com o controle de infecção ... por uma equipe de Atenção Domiciliar. Muitas vezes, pacientes e familiares ...",https://bvsms.saude.gov.br/bvs/publicacoes/caderno_atencao_domiciliar_melhor_casa.pdf,Biblioteca Virtual em Saúde MS,"['Melhor em Casa', 'equipe', 'Atenção Domiciliar']",1,SE
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de equipe",Programa Melhor em Casa: Prefeitura de Fortaleza atende ...,"... Atenção Domiciliar (EMAD) e nove Equipes Multiprofissionais de ... De janeiro a novembro de 2025, as equipes do Programa Melhor em Casa ...",https://www.fortaleza.ce.gov.br/noticias/programa-melhor-em-casa-prefeitura-de-fortaleza-atende-mais-de-1-200-pacientes-e-realiza-mais-de-100-mil-atendimentos-em-2025,Prefeitura de Fortaleza,29 de dez. de 2025,3,CE
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de equipe",SOS Emergências e Melhor em Casa,A equipe multidisciplinar de atenção domiciliar deve ser composta ... equipes previstas no Melhor em Casa têm uma boa composição. O ...,https://www.epsjv.fiocruz.br/noticias/reportagem/sos-emergencias-e-melhor-em-casa-1,Escola Politécnica de Saúde Joaquim Venâncio | EPSJV | Fiocruz,23 de nov. de 2011,4,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de equipe",PROTOCOLO DE SERVIÇO DE ATENÇÃO DOMICILIAR ...,"SERVIÇO DE ATENÇÃO DOMICILIAR/PROGRAMA MELHOR EM CASA. De acordo com a ... É obrigatório comunicar a equipe do Programa Melhor em Casa em caso de internação, alta.",https://s3cache.dom.sc.gov.br/atos/2024/05/1717015728_protocolo_mec_bigua_dia_vinte_e_seis_de_fevereiro_2__1.pdf,DOM/SC,"['ATENÇÃO DOMICILIAR', 'MELHOR EM CASA', 'equipe', 'Melhor em Casa']",2,SC
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de equipe",“Melhor em Casa!?” A resiliência do profissional frente a ...,Multiprofissional de Atenção Domiciliar) e EMAP (Equipe Multiprofissional de ... A motivação para começar a fazer parte de uma equipe Melhor em Casa permeou.,https://sapientia.pucsp.br/bitstream/handle/22702/2/Thais%20de%20Cassia%20Peixoto%20Maldonado.pdf,REPOSITORIO PUCSP,"['Atenção Domiciliar', 'Equipe', 'equipe Melhor em Casa']",1,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de ambulancia",Prefeitura de Cuiabá entrega ambulância exclusiva e ...,... ambulância exclusiva para atendimento dos pacientes acompanhados pelo programa Melhor em Casa. ... atenção domiciliar no município ...,https://olharpantaneiro.com.br/noticia/5477/prefeitura-de-cuiaba-entrega-ambulancia-exclusiva-e-reforca-assistencia-a-pacientes-do-melhor-em-casa,OlharPantaneiro,há 4 dias,1,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de ambulancia",Prefeitura de Cuiabá entrega ambulância exclusiva e ...,Prefeitura de Cuiabá entrega ambulância exclusiva e reforça assistência a pacientes do Melhor em Casa. Veículo deve reduzir entraves ...,https://www.infoverus.com.br/saude/prefeitura-de-cuiaba-entrega-ambulancia-exclusiva-e-reforca-assistencia-a-pacientes-do-melhor-em-casa/24365,Infoverus,há 4 dias,2,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de ambulancia","A Prefeitura de Cuiabá entregou, nesta sexta-feira (20) ...","... ambulância destinada ao atendimento de pacientes acompanhados pelo programa Melhor em Casa, voltado à assistência domiciliar. O veículo será ...",https://www.instagram.com/p/DWKFcU0gcnG/,Instagram · infoverus.oficial,"['ambulância', 'Melhor em Casa']",3,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de ambulancia",PROGRAMA MELHOR EM CASA GARANTE ATENDIMENTO ...,O Programa Melhor em Casa tem levado atendimento de saúde diretamente a pacientes que necessitam de acompanhamento contínuo em Breu Branco. Um ...,https://www.instagram.com/reel/DVckmSEEnIQ/,Instagram · charles_amorimoficial,,5,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" falta de ambulancia",a implementação do programa federal melhor em casa ...,"É partindo desses dois contextos que o Programa Melhor em Casa (marca criada para o serviço de atenção domiciliar) foi estabelecido, em 2011, pelo Ministério da ...",https://revista.enap.gov.br/index.php/RSP/article/download/4124/3935/21746,Revista do Serviço Público,"['Melhor em Casa', 'atenção domiciliar']",1,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" cancelamento",Lançamento do Programa de Atenção Domiciliar (Melhor ...,O programa de assistência domiciliar Melhor em Casa irá contar com a implantação de equipes multiprofissionais de atenção domiciliar (EMADs) e ...,https://novoportal.crn1.org.br/lancamento-do-programa-de-atencao-domiciliar-melhor-em-casa/,CRN - 01,15 de dez. de 2011,2,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" cancelamento",Protocolo de Serviço de Atenção Domiciliar – EMAD/EMAP ...,SERVIÇO DE ATENÇÃO DOMICILIAR/PROGRAMA MELHOR EM CASA ........ 5. 2.1 ... planejamento da entrega do mesmo (ANEXO 23). Dentre os materiais fornecidos ...,https://observasaudecatanduva.sp.gov.br/wp-content/uploads/2021/01/Protocolo-de-Servico-de-Atencao-Domiciliar-%E2%80%93-EMAD-EMAP-do-Municipio-de-Catanduva-PROTEGIDO.pdf,Observatório Saúde Catanduva,"['ATENÇÃO DOMICILIAR', 'MELHOR EM CASA', 'planejamento']",3,SP
"""Melhor em Casa"" OR ""atencao domiciliar"" cancelamento","Conheça o “Melhor em Casa”, o Programa de Assistência ...","Disponível no Sistema Único de Saúde (SUS), o programa Melhor em Casa integra os Serviços de Atenção Domiciliar e é caracterizado pelo ...",https://www.ibes.med.br/conheca-o-melhor-em-casa-o-programa-de-assistencia-domiciliar-do-sus/,Grupo IBES,25 de mar. de 2024,4,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" cancelamento","SUS oferece programa Melhor em Casa, que pode atender ...",... Atenção Domiciliar (SAD) – Melhor em Casa. A Atenção Domiciliar proporciona ao paciente um cuidado ligado diretamente aos aspectos ...,https://diariopcd.com.br/sus-oferece-programa-melhor-em-casa-que-pode-atender-pessoas-com-deficiencia-e-idosos/,Diário PcD,30 de mai. de 2024,5,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" cancelamento",Você sabia que o SUS também oferece atendimento ...,"Você sabia que o SUS também oferece atendimento domiciliar gratuito? ✓ Sim! O nome do programa é “Melhor em Casa”, voltado para pacientes que ...",https://www.instagram.com/p/DMY0NLVxrnO/,Instagram · daniellecorreaadvocacia,['Melhor em Casa'],1,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" nao atendido",Manual Instrutivo do Melhor em Casa,Atenção Domiciliar (ANEXO 2). O Detalhamento do Componente Atenção ... Melhor em Casa. Melhor em Casa. A SEGURANÇA DO HOSPITAL NO.,http://189.28.128.100/dab/docs/geral/cartilha_melhor_em_casa.pdf,189.28.128,27 de out. de 2011,3,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" nao atendido",Descomplicando o Programa Melhor em Casa (PMeC ...,... melhor-em-casa CADERNOS https ... VAMOS APRENDER UM POUQUINHO SOBRE A ATENÇÃO DOMICILIAR... Prof ...,https://www.youtube.com/watch?v=wer4oNGdgHk,YouTube · DATASUS,,3,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" nao atendido",Programa Melhor em Casa - Prefeitura de Angra dos Reis,"O Programa Melhor em Casa é um programa de atenção domiciliar que tem por objetivos: Promover a desospitalização dos pacientes estáveis, que possam ter seu ...",https://cartadeservicos.angra.rj.gov.br/servico.asp?c=540,Prefeitura de Angra dos Reis,"['Melhor em Casa', 'atenção domiciliar']",2,RJ
"""Melhor em Casa"" OR ""atencao domiciliar"" nao atendido","Cuidado especializado em casa! Antes não tinha, agora tem ...",O programa melhor em casa oferece atendimento com equipe ... A Atenção Domiciliar não é favor. É política pública regulamentada. É ...,https://www.instagram.com/reel/DRTMzLTjaRc/,Instagram · saudeam,,1,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" nao atendido",Atenção Domiciliar – Melhor em Casa,"Atenção Domiciliar – Melhor em Casa · Ouvir · Com abordagens diferenciadas, esse tipo de serviço está disponível no Sistema Único de Saúde (SUS).",https://uai.spdmafiliadas.org.br/atencao-domiciliar-melhor-em-casa/,SPDM Afiliadas,"['Atenção Domiciliar', 'Melhor em Casa']",1,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" desassistencia",O Programa Melhor em Casa passou por uma importante ...,"O Programa Melhor em Casa passou por uma importante ampliação em 2025 e segue fortalecido em 2026, garantindo atendimentos domiciliares qualificados, inclusive ...",https://www.instagram.com/p/DUnmXURDZA0/,Instagram,['Melhor em Casa'],1,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" desassistencia",DPE-AM obtém liminar para garantir fornecimento de oxigênio ...,DPE-AM obtém liminar para garantir fornecimento de oxigênio a pacientes do programa Melhor em Casa. noticiasdpeam 18 de janeiro de 2021 ...,https://defensoria.am.def.br/2021/01/18/dpe-am-obtem-liminar-para-garantir-fornecimento-de-oxigenio-a-pacientes-do-programa-melhor-em-casa/,Defensoria Pública do Estado do Amazonas,18 de jan. de 2021,2,AM
"""Melhor em Casa"" OR ""atencao domiciliar"" desassistencia","Secretaria de Saúde de SJM on Instagram: ""Conheça o ...","O programa Melhor em Casa (Serviço de Atenção Domiciliar - SAD) leva, além de amor e carinho, atendimento humanizado e especializado ...",https://www.instagram.com/reel/DIbw_iRuI3Z/,Instagram · saudesaojoaodemeriti,,3,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" desassistencia",Saúde aldeense realiza mais de 4.000 atendimentos ...,Live sobre Atenção Domiciliar · Como ser atendido pelo “Melhor em Casa” · Conheça o programa · prefeitura municipal de são pedro da aldeia.,https://pmspa.rj.gov.br/saude-aldeense-realiza-mais-de-4-000-atendimentos-domiciliares-durante-a-pandemia/,Prefeitura de São Pedro da Aldeia,17 de ago. de 2020,5,RJ
"""Melhor em Casa"" OR ""atencao domiciliar"" desassistencia",nova odessa,"referente ao Programa ""Melhor em Casa"". Esclarecemos que, no presente momento, o Município não formalizou a adesão ao Programa ""Melhor em Casa"".",https://siscam.camaranovaodessa.sp.gov.br/Documentos/Arquivo/148384,Câmara Municipal de Nova Odessa/SP,16 de jan. de 2026,1,SP
"""Melhor em Casa"" OR ""atencao domiciliar"" ouvidoria",Programa Melhor em Casa presta atendimento domiciliar ...,Programa Melhor em Casa presta atendimento domiciliar de média e alta complexidade para pacientes aldeenses ... Atenção Domiciliar (EMAD) para ...,https://pmspa.rj.gov.br/programa-melhor-em-casa-presta-atendimento-domiciliar-de-media-e-alta-completibilidade-para-pacientes-aldeenses/,Prefeitura de São Pedro da Aldeia,18 de fev. de 2021,3,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" ouvidoria",Programa Melhor em Casa – PMeC,"Programa Melhor em Casa – PMeC. O programa é uma das estratégias do Ministério da Saúde, criado em 2011, para promover a atenção domiciliar no SUS, configurando ...",https://www.saude.ba.gov.br/atencao-a-saude/dae/programa-melhor-em-casa-pmec/,Sesab,"['Melhor em Casa', 'atenção domiciliar']",4,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" ouvidoria",PROGRAMA MELHOR EM CASA (SAD),... Ouvidoria Geral · Ouvidoria da Saúde ... PROGRAMA MELHOR EM CASA (SAD). Imprimir Fechar. Secretaria: Saúde. A Atenção Domiciliar (AD) é uma forma de atenção ...,https://www.carapicuiba.sp.gov.br/servico/view/153/programa-melhor-em-casa-sad,Prefeitura de Carapicuíba/SP,"['Ouvidoria', 'Ouvidoria', 'MELHOR EM CASA', 'Atenção Domiciliar']",5,SP
"""Melhor em Casa"" OR ""atencao domiciliar"" ouvidoria",Governo Federal lança os programas Melhor em Casa e ...,"Em casa – O programa Melhor em Casa vai ampliar o atendimento ... Até 2014, o programa contará com mil equipes de atenção domiciliar atuando em ...",https://www.cofen.gov.br/governo-federal-lana-os-programas-melhor-em-casa-e-sos-emergencias/,Cofen,9 de nov. de 2011,1,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" ouvidoria",Programa Melhor em Casa: Mais pacientes recebem ...,Programa Melhor em Casa: Mais pacientes recebem atendimento domiciliar em Santarém ... Atenção Domiciliar no âmbito do Sistema Único de ...,https://santarem.pa.gov.br/noticias/saude/programa-melhor-em-casa-mais-pacientes-recebem-atendimento-domiciliar-em-santarem-q8yb8o,Prefeitura de Santarém,20 de out. de 2025,2,PA
